,"Table 6. Share to Total Annual Family Income, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
427,Cash Receipts from Abroad,6.12,5.04,5.26,-1.08,0.23
428,Cash Receipts from Domestic Sources,4.73,5.33,5.37,0.5999999999999996,0.04
429,Rentals Received,0.03,0.2,0.15,0.17,-0.05
430,Interest,0.08,0.16,0.11,0.08,-0.06
431,Pension,2.24,1.61,6.26,-0.6300000000000001,4.65
432,Dividends,0,0.02,0.02,0.02,0
433,"Other Source of Income, NEC",0,0.02,0.08,0.02,0.07
434,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.11,3.12,1.62,2.01,-1.5
435,Net Receipt from Family Sustenance Activities,4.49,4.3,3.08,-0.1900000000000004,-1.22
436,Received as Gifts,2.07,6.43,3.26,4.359999999999999,-3.17
437,Imputed Rent,4.01,4.86,5.37,0.8500000000000005,0.51
438,,,,,,
439,REGION I - ILOCOS REGION,,,,,
440,Share to Family Income,100,100.0,100,,
441,Wage/Salaries,43.4,43.9,47.48,0.5,3.59
442,Entrepreneurial Activities,17.95,17.2,15.68,-0.75,-1.52
443,Cash Receipts from Abroad,16.52,13.08,13.77,-3.4399999999999995,0.69
444,Cash Receipts from Domestic Sources,6.72,6.67,5.52,-0.04999999999999982,-1.15
445,Rentals Received,0.2,0.59,1.24,0.38999999999999996,0.64
446,Interest,0.02,0.07,0.05,0.05,-0.02
447,Pension,3.53,4.58,3.81,1.0500000000000003,-0.77
448,Dividends,0.31,0.13,0.04,-0.18,-0.09
449,"Other Source of Income, NEC",0.03,0.09,0.05,0.06,-0.04
450,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.27,0.49,0.54,0.21999999999999997,0.04
451,Net Receipt from Family Sustenance Activities,1.11,1.28,0.96,0.16999999999999993,-0.31
452,Received as Gifts,2.74,3.64,3.07,0.8999999999999999,-0.57
453,Imputed Rent,7.22,8.28,7.79,1.0599999999999996,-0.5
454,,,,,,
455,Ilocos Norte,,,,,
456,Share to Family Income,100,100.0,100,,
457,Wage/Salaries,36.88,42.55,42.36,5.669999999999995,-0.19
458,Entrepreneurial Activities,19.54,15.65,17.49,-3.889999999999999,1.84
459,Cash Receipts from Abroad,21.97,18.49,20.28,-3.4800000000000004,1.79
460,Cash Receipts from Domestic Sources,6.02,5.56,5.32,-0.45999999999999996,-0.24
461,Rentals Received,0.08,0.37,0.12,0.29,-0.25
462,Interest,0.02,0.08,0.02,0.06,-0.06
463,Pension,2.48,3.66,1.99,1.1800000000000002,-1.67
464,Dividends,0.39,0.38,0.1,-0.010000000000000009,-0.29
465,"Other Source of Income, NEC",0.08,0.15,0.08,0.06999999999999999,-0.07
466,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.59,0.7,0.3,0.10999999999999999,-0.4
467,Net Receipt from Family Sustenance Activities,1.05,1.5,0.79,0.44999999999999996,-0.71
468,Received as Gifts,3.03,4.46,5.2,1.4300000000000002,0.74
469,Imputed Rent,7.87,6.46,5.96,-1.4100000000000001,-0.5
470,,,,,,
471,Ilocos Sur,,,,,
472,Share to Family Income,100,100.0,100,,
473,Wage/Salaries,38.66,38.71,46.79,0.05000000000000426,8.08
474,Entrepreneurial Activities,18.77,18.13,16.27,-0.6400000000000006,-1.86
475,Cash Receipts from Abroad,20.63,16.14,14.74,-4.489999999999998,-1.4
476,Cash Receipts from Domestic Sources,5.79,5.67,3.38,-0.1200000000000001,-2.29
477,Rentals Received,0.48,0.32,1.1,-0.15999999999999998,0.78
478,Interest,0.01,0.08,0.17,0.07,0.08
479,Pension,4.48,4.63,3.89,0.14999999999999947,-0.74
480,Dividends,0,0.12,0.05,0.12,-0.08
481,"Other Source of Income, NEC",0.03,0.04,0.07,0.010000000000000002,0.03
482,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.42,0.75,1.12,0.33,0.37
483,Net Receipt from Family Sustenance Activities,0.98,1.98,0.85,1,-1.13
484,Received as Gifts,3.03,4.82,2.13,1.7900000000000005,-2.69
485,Imputed Rent,6.73,8.61,9.46,1.879999999999999,0.84
486,,,,,,
487,La Union,,,,,
488,Share to Family Income,100,100.0,100,,
489,Wage/Salaries,42.78,40.61,47.11,-2.1700000000000017,6.5
490,Entrepreneurial Activities,17.9,16.28,16.52,-1.6199999999999974,0.24
491,Cash Receipts from Abroad,16.81,16.29,12.64,-0.5199999999999996,-3.65
492,Cash Receipts from Domestic Sources,6.56,5.46,4.02,-1.0999999999999996,-1.43
493,Rentals Received,0.48,2.3,4.38,1.8199999999999998,2.08
494,Interest,0.02,0.05,0.05,0.030000000000000002,-0.01
495,Pension,3.56,5.37,3.97,1.81,-1.4
496,Dividends,1.09,0.01,0.03,-1.08,0.02
497,"Other Source of Income, NEC",0.03,0.17,0.09,0.14,-0.08
498,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.32,0.45,0.57,0.13,0.12
499,Net Receipt from Family Sustenance Activities,1.47,1.46,1.1,-0.010000000000000009,-0.36
500,Received as Gifts,2.71,3.89,3.01,1.1800000000000002,-0.88
501,Imputed Rent,6.29,7.66,6.5,1.37,-1.16
502,,,,,,
503,Pangasinan,,,,,
504,Share to Family Income,100,100.0,100,,
505,Wage/Salaries,46.49,46.59,49.35,0.10000000000000142,2.76
506,Entrepreneurial Activities,17.35,17.66,14.69,0.3099999999999987,-2.97
507,Cash Receipts from Abroad,13.98,9.89,11.94,-4.09,2.06
508,Cash Receipts from Domestic Sources,7.18,7.59,6.68,0.41000000000000014,-0.91
509,Rentals Received,0.06,0.2,0.5,0.14,0.31
510,Interest,0.02,0.07,0.03,0.05,-0.04
511,Pension,3.55,4.56,4.29,1.0099999999999998,-0.28
512,Dividends,0.1,0.11,0.03,0.009999999999999995,-0.08
513,"Other Source of Income, NEC",0.01,0.06,0.03,0.049999999999999996,-0.04
514,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.13,0.38,0.44,0.25,0.05
515,Net Receipt from Family Sustenance Activities,1.04,0.99,1,-0.050000000000000044,0.01
516,Received as Gifts,2.59,3.04,2.69,0.4500000000000002,-0.35
517,Imputed Rent,7.49,8.87,8.34,1.379999999999999,-0.53
518,,,,,,
519,REGION II - CAGAYAN VALLEY,,,,,
520,Share to Family Income,100,100.0,100,,
521,Wage/Salaries,43.49,45.02,45.62,1.5300000000000011,0.61
522,Entrepreneurial Activities,26.06,22.27,25.49,-3.789999999999999,3.22
523,Cash Receipts from Abroad,11.67,9.14,9.18,-2.5299999999999994,0.04
524,Cash Receipts from Domestic Sources,4.47,4.87,4.34,0.40000000000000036,-0.53
525,Rentals Received,0.42,1.19,0.49,0.77,-0.7
526,Interest,0.13,0.1,0.07,-0.03,-0.02
527,Pension,1.93,2.67,2.12,0.74,-0.55
528,Dividends,0.49,0.29,0.03,-0.2,-0.26
529,"Other Source of Income, NEC",0.08,0.14,0.06,0.06000000000000001,-0.08
530,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.22,0.86,1,-0.36,0.14
531,Net Receipt from Family Sustenance Activities,1.96,2.05,1.39,0.08999999999999986,-0.67
532,Received as Gifts,2.01,2.43,1.79,0.4200000000000004,-0.64
533,Imputed Rent,6.07,8.97,8.42,2.9000000000000004,-0.55
534,,,,,,
535,Batanes,,,,,
536,Share to Family Income,100,100.0,100,,
537,Wage/Salaries,61.2,56.8,59.66,-4.400000000000006,2.86
538,Entrepreneurial Activities,17.14,14.0,14.42,-3.1400000000000006,0.42
539,Cash Receipts from Abroad,3.09,2.29,3.37,-0.7999999999999998,1.08
540,Cash Receipts from Domestic Sources,3.11,3.23,3.61,0.1200000000000001,0.37
541,Rentals Received,0.48,0.72,0.82,0.24,0.09
542,Interest,0.14,0.49,0.07,0.35,-0.43
543,Pension,1.93,4.99,4.17,3.0600000000000005,-0.83
544,Dividends,0.07,0.07,0.13,0,0.05
545,"Other Source of Income, NEC",0.01,0.28,0.1,0.27,-0.18
546,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.16,0.25,0.18,0.09,-0.06
547,Net Receipt from Family Sustenance Activities,2.87,3.2,2.13,0.33000000000000007,-1.07
548,Received as Gifts,2.45,4.53,2.77,2.08,-1.76
549,Imputed Rent,7.36,9.15,8.6,1.79,-0.55
550,,,,,,
551,Cagayan,,,,,
552,Share to Family Income,100,100.0,100,,
553,Wage/Salaries,41.59,43.54,46.06,1.9499999999999957,2.52
554,Entrepreneurial Activities,27.33,21.82,26.13,-5.509999999999998,4.31
555,Cash Receipts from Abroad,11.95,9.6,8.61,-2.3499999999999996,-0.99
556,Cash Receipts from Domestic Sources,4.64,5.35,3.92,0.71,-1.42
557,Rentals Received,0.47,1.25,0.44,0.78,-0.81
558,Interest,0.05,0.08,0.12,0.03,0.04
559,Pension,2.15,2.99,2.74,0.8400000000000003,-0.25
560,Dividends,0,0.01,0.02,0.01,0.01
561,"Other Source of Income, NEC",0.02,0.08,0.01,0.06,-0.07
562,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.61,0.79,0.96,-0.8200000000000001,0.17
563,Net Receipt from Family Sustenance Activities,2.13,2.15,1.75,0.020000000000000018,-0.4
564,Received as Gifts,2.1,2.53,1.44,0.4299999999999997,-1.09
565,Imputed Rent,5.96,9.8,7.81,3.8400000000000007,-2
566,,,,,,
567,Isabela,,,,,
568,Share to Family Income,100,100.0,100,,
569,Wage/Salaries,44.8,45.59,44.02,0.7900000000000063,-1.57
570,Entrepreneurial Activities,26.52,23.18,26.14,-3.34,2.96
571,Cash Receipts from Abroad,11.51,9.07,9.83,-2.4399999999999995,0.77
572,Cash Receipts from Domestic Sources,4.09,4.67,4.92,0.5800000000000001,0.25
573,Rentals Received,0.4,1.35,0.42,0.9500000000000001,-0.93
574,Interest,0.07,0.12,0.02,0.04999999999999999,-0.1
575,Pension,1.54,2.13,1.28,0.5899999999999999,-0.85
576,Dividends,0,0.46,0.02,0.46,-0.44
577,"Other Source of Income, NEC",0.03,0.14,0.08,0.11000000000000001,-0.05
578,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.1,0.72,0.85,-0.3800000000000001,0.13
579,Net Receipt from Family Sustenance Activities,1.83,1.72,1.11,-0.1100000000000001,-0.62
580,Received as Gifts,1.5,1.75,1.79,0.25,0.04
581,Imputed Rent,6.6,9.11,9.53,2.51,0.42
582,,,,,,
583,Nueva Vizcaya,,,,,
584,Share to Family Income,100,100.0,100,,
585,Wage/Salaries,44.46,46.02,46.72,1.5600000000000023,0.7
586,Entrepreneurial Activities,22.77,21.31,24.36,-1.4600000000000009,3.05
587,Cash Receipts from Abroad,12.13,9.35,9.15,-2.780000000000001,-0.2
588,Cash Receipts from Domestic Sources,5.1,3.65,3.82,-1.4499999999999997,0.17
589,Rentals Received,0.38,0.65,0.82,0.27,0.17
590,Interest,0.02,0.03,0.1,0.009999999999999998,0.07
591,Pension,2.6,3.04,2.77,0.43999999999999995,-0.27
592,Dividends,1.27,0.52,0.07,-0.75,-0.44
593,"Other Source of Income, NEC",0.34,0.21,0.1,-0.13000000000000003,-0.12
594,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.98,1.2,1.19,0.21999999999999997,-0.01
595,Net Receipt from Family Sustenance Activities,1.72,2.46,1.21,0.74,-1.24
596,Received as Gifts,2.86,4.01,2.52,1.15,-1.49
597,Imputed Rent,5.37,7.55,7.17,2.1799999999999997,-0.38
598,,,,,,
599,Quirino,,,,,
600,Share to Family Income,100,100.0,100,,
601,Wage/Salaries,40.4,44.65,51.12,4.25,6.47
602,Entrepreneurial Activities,25.44,21.22,20.61,-4.220000000000002,-0.61
603,Cash Receipts from Abroad,11.1,7.72,8.51,-3.38,0.79
604,Cash Receipts from Domestic Sources,4.54,6.89,3.77,2.3499999999999996,-3.12
605,Rentals Received,0.37,0.81,0.43,0.44000000000000006,-0.39
606,Interest,1.35,0.07,0.11,-1.28,0.03
607,Pension,1.39,3.97,3.01,2.58,-0.95
608,Dividends,5.07,0.08,0.02,-4.99,-0.06
609,"Other Source of Income, NEC",0.04,0.24,0,0.19999999999999998,-0.23
610,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.55,1.68,2.19,1.13,0.5
611,Net Receipt from Family Sustenance Activities,2.45,3.04,1.69,0.5899999999999999,-1.34
612,Received as Gifts,2.63,3.27,2,0.6400000000000001,-1.27
613,Imputed Rent,4.67,6.36,6.54,1.6900000000000004,0.18
614,,,,,,
615,REGION III - CENTRAL LUZON,,,,,
616,Share to Family Income,100,100.0,100,,
617,Wage/Salaries,51.52,55.12,59.34,3.5999999999999943,4.23
618,Entrepreneurial Activities,19.5,15.83,14.81,-3.67,-1.02
619,Cash Receipts from Abroad,11.63,8.53,10.36,-3.1000000000000014,1.83
620,Cash Receipts from Domestic Sources,3.72,4.73,3.03,1.0100000000000002,-1.71
621,Rentals Received,0.43,0.47,0.29,0.03999999999999998,-0.18
622,Interest,0.04,0.05,0.04,0.010000000000000002,-0.01
623,Pension,2.48,2.36,1.71,-0.1200000000000001,-0.65
624,Dividends,0.19,0.05,0.02,-0.14,-0.02
625,"Other Source of Income, NEC",0.05,0.08,0.06,0.03,-0.02
626,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.15,0.28,0.24,0.13000000000000003,-0.04
627,Net Receipt from Family Sustenance Activities,0.41,0.47,0.17,0.06,-0.3
628,Received as Gifts,2.01,2.38,1.56,0.3700000000000001,-0.82
629,Imputed Rent,7.87,9.66,8.38,1.79,-1.29
630,,,,,,
631,Aurora,,,,,
632,Share to Family Income,100,100.0,100,,
633,Wage/Salaries,43.08,45.0,47.36,1.9200000000000017,2.36
634,Entrepreneurial Activities,30.87,24.5,24.91,-6.370000000000001,0.41
635,Cash Receipts from Abroad,6.62,5.89,7.14,-0.7300000000000004,1.25
636,Cash Receipts from Domestic Sources,6.14,7.09,7.02,0.9500000000000002,-0.07
637,Rentals Received,0.59,1.03,0.69,0.44000000000000006,-0.35
638,Interest,0.02,0.22,0.1,0.2,-0.11
639,Pension,2.03,2.71,2.73,0.6800000000000002,0.02
640,Dividends,0.32,0.12,0.09,-0.2,-0.04
641,"Other Source of Income, NEC",0.01,0.18,0.05,0.16999999999999998,-0.14
642,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.71,1.09,0.46,0.3800000000000001,-0.62
643,Net Receipt from Family Sustenance Activities,1.45,1.64,1.11,0.18999999999999995,-0.53
644,Received as Gifts,2.36,3.54,2.18,1.1800000000000002,-1.36
645,Imputed Rent,5.82,6.98,6.16,1.1600000000000001,-0.82
646,,,,,,
647,Bataan,,,,,
648,Share to Family Income,100,100.0,100,,
649,Wage/Salaries,44.65,50.56,57.55,5.910000000000004,6.99
650,Entrepreneurial Activities,23.11,20.1,13.31,-3.009999999999998,-6.79
651,Cash Receipts from Abroad,14.24,8.79,12.03,-5.450000000000001,3.23
652,Cash Receipts from Domestic Sources,3.87,4.45,3.05,0.5800000000000001,-1.4
653,Rentals Received,0.61,0.73,0.6,0.12,-0.13
654,Interest,0,0.0,0.05,0,0.05
655,Pension,2.49,2.25,2,-0.2400000000000002,-0.25
656,Dividends,0.01,0.01,0.06,0,0.06
657,"Other Source of Income, NEC",0.02,0.06,0.04,0.039999999999999994,-0.02
658,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.03,0.17,0.09,0.14,-0.08
659,Net Receipt from Family Sustenance Activities,0.65,0.64,0.28,-0.010000000000000009,-0.36
660,Received as Gifts,2.3,3.06,2.38,0.7600000000000002,-0.68
661,Imputed Rent,8.01,9.18,8.56,1.17,-0.61
662,,,,,,
663,Bulacan,,,,,
664,Share to Family Income,100,100.0,100,,
665,Wage/Salaries,56.7,59.39,65.12,2.6899999999999977,5.72
666,Entrepreneurial Activities,15.13,15.45,12.47,0.3199999999999985,-2.98
667,Cash Receipts from Abroad,10.93,6.29,8.25,-4.64,1.96
668,Cash Receipts from Domestic Sources,3.59,4.31,3.15,0.7199999999999998,-1.15
669,Rentals Received,0.41,0.6,0.17,0.19,-0.42
670,Interest,0.03,0.09,0.05,0.06,-0.04
671,Pension,2.7,2.79,1.44,0.08999999999999986,-1.36
672,Dividends,0.05,0.03,0.02,-0.020000000000000004,-0.02
673,"Other Source of Income, NEC",0.01,0.06,0.07,0.049999999999999996,0.01
674,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.09,0.07,0.02,-0.01999999999999999,-0.04
675,Net Receipt from Family Sustenance Activities,0.18,0.21,0.05,0.03,-0.16
676,Received as Gifts,2.31,2.49,1.84,0.18000000000000016,-0.64
677,Imputed Rent,7.87,8.22,7.33,0.35000000000000053,-0.89
678,,,,,,
679,Nueva Ecija,,,,,
680,Share to Family Income,100,100.0,100,,
681,Wage/Salaries,44.31,53.6,59.73,9.29,6.13
682,Entrepreneurial Activities,27.33,17.85,19.08,-9.479999999999997,1.22
683,Cash Receipts from Abroad,9.18,7.08,6.12,-2.0999999999999996,-0.96
684,Cash Receipts from Domestic Sources,3.98,4.08,2.49,0.10000000000000009,-1.59
685,Rentals Received,0.58,0.09,0.15,-0.49,0.06
686,Interest,0.1,0.04,0.03,-0.060000000000000005,-0.02
687,Pension,2.83,1.47,1.65,-1.36,0.18
688,Dividends,0.96,0.0,0.04,-0.96,0.04
689,"Other Source of Income, NEC",0.01,0.09,0.1,0.08,0
690,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.34,0.97,0.79,0.6299999999999999,-0.17
691,Net Receipt from Family Sustenance Activities,0.73,1.04,0.24,0.31000000000000005,-0.81
692,Received as Gifts,2.32,2.41,1.74,0.0900000000000003,-0.67
693,Imputed Rent,7.33,11.27,7.84,3.9399999999999995,-3.43
694,,,,,,
695,Pampanga (Excluding City of Angeles),,,,,
696,Share to Family Income,100,100.0,100,,
697,Wage/Salaries,54.83,53.74,58.51,-1.0899999999999963,4.77
698,Entrepreneurial Activities,18.3,14.93,14.45,-3.370000000000001,-0.48
699,Cash Receipts from Abroad,13.45,10.5,13,-2.9499999999999993,2.5
700,Cash Receipts from Domestic Sources,3.25,6.4,2.58,3.1500000000000004,-3.82
701,Rentals Received,0.2,0.49,0.26,0.29,-0.23
702,Interest,0.04,0.02,0.02,-0.02,-0.01
703,Pension,1.22,1.54,0.93,0.32000000000000006,-0.62
704,Dividends,0,0.15,0,0.15,-0.15
705,"Other Source of Income, NEC",0.01,0.06,0.03,0.049999999999999996,-0.03
706,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.08,0.08,0.12,0,0.04
707,Net Receipt from Family Sustenance Activities,0.09,0.12,0.02,0.03,-0.1
708,Received as Gifts,0.91,1.51,0.95,0.6,-0.55
709,Imputed Rent,7.61,10.45,9.13,2.839999999999999,-1.32
710,,,,,,
711,City of Angeles,,,,,
712,Share to Family Income,100,100.0,100,,
713,Wage/Salaries,50.46,50.46,50.46,0,-3.62
714,Entrepreneurial Activities,19.54,19.54,19.54,0,3.48
715,Cash Receipts from Abroad,9.57,9.57,9.57,0,2.93
716,Cash Receipts from Domestic Sources,4.9,4.9,4.9,0,0.33
717,Rentals Received,0.59,0.59,0.59,0,-0.2
718,Interest,0.06,0.06,0.06,0,-0.03
719,Pension,2.9,2.9,2.9,0,0.22
720,Dividends,0.37,0.37,0.37,0,0.01
721,"Other Source of Income, NEC",0.05,0.05,0.05,0,-0.09
722,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.38,0.38,0.38,0,0
723,Net Receipt from Family Sustenance Activities,0.85,0.85,0.85,0,0.01
724,Received as Gifts,2.05,2.05,2.05,0,-0.37
725,Imputed Rent,8.28,8.28,8.28,0,-2.68
726,,,,,,
727,Tarlac,,,,,
728,Share to Family Income,100,100.0,100,,
729,Wage/Salaries,50.31,53.07,54.44,2.759999999999998,1.37
730,Entrepreneurial Activities,19.55,14.51,14.42,-5.040000000000001,-0.09
731,Cash Receipts from Abroad,11.23,10.86,13.38,-0.370000000000001,2.53
732,Cash Receipts from Domestic Sources,4.75,4.63,3.25,-0.1200000000000001,-1.38
733,Rentals Received,0.24,0.28,0.47,0.040000000000000036,0.19
734,Interest,0.03,0.02,0.02,-0.009999999999999998,0
735,Pension,3.41,3.81,3,0.3999999999999999,-0.8
736,Dividends,0,0.0,0,0,0
737,"Other Source of Income, NEC",0,0.13,0.01,0.13,-0.12
738,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.28,0.41,0.39,0.12999999999999995,-0.02
739,Net Receipt from Family Sustenance Activities,0.73,0.65,0.41,-0.07999999999999996,-0.24
740,Received as Gifts,2.36,3.29,1.32,0.9300000000000002,-1.97
741,Imputed Rent,7.12,8.33,8.87,1.21,0.55
742,,,,,,
743,Zambales (Excluding City of Olongapo),,,,,
744,Share to Family Income,100,100.0,100,,
745,Wage/Salaries,45.83,52.35,53.93,6.520000000000003,1.58
746,Entrepreneurial Activities,15.37,12.73,13.79,-2.639999999999999,1.06
747,Cash Receipts from Abroad,16.08,10.4,12.16,-5.679999999999998,1.76
748,Cash Receipts from Domestic Sources,4.5,4.36,3.84,-0.13999999999999968,-0.53
749,Rentals Received,0.25,0.31,0.33,0.06,0.01
750,Interest,0.05,0.02,0.11,-0.030000000000000002,0.09
751,Pension,3.48,2.96,2.28,-0.52,-0.68
752,Dividends,0,0.02,0.02,0.02,0
753,"Other Source of Income, NEC",0.7,0.03,0.23,-0.6699999999999999,0.2
754,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.18,0.34,0.33,0.16000000000000003,-0.02
755,Net Receipt from Family Sustenance Activities,1.17,1.45,0.52,0.28,-0.94
756,Received as Gifts,3.01,3.74,2.28,0.7300000000000004,-1.46
757,Imputed Rent,9.37,11.28,10.19,1.9100000000000001,-1.09
758,,,,,,
759,City of Olongapo,,,,,
760,Share to Family Income,100,100.0,100,,
761,Wage/Salaries,52.29,56.37,57.54,4.079999999999998,1.17
762,Entrepreneurial Activities,13.22,9.72,9.87,-3.5,0.15
763,Cash Receipts from Abroad,13.79,10.38,12.27,-3.4099999999999984,1.89
764,Cash Receipts from Domestic Sources,2.49,3.74,2.64,1.25,-1.1
765,Rentals Received,1.45,1.5,1.2,0.050000000000000044,-0.29
766,Interest,0.08,0.0,0.07,-0.08,0.07
767,Pension,2.34,3.03,2.26,0.69,-0.78
768,Dividends,0.01,0.04,0.09,0.03,0.04
769,"Other Source of Income, NEC",0.08,0.02,0.04,-0.06,0.02
770,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.02,0.01,0.17,-0.01,0.16
771,Net Receipt from Family Sustenance Activities,0.09,0.15,0.1,0.06,-0.05
772,Received as Gifts,2.57,2.6,2.07,0.03000000000000025,-0.53
773,Imputed Rent,11.55,12.43,11.68,0.879999999999999,-0.76
774,,,,,,
775,REGION IVA - CALABARZON,,,,,
776,Share to Family Income,100,100.0,100,,
777,Wage/Salaries,54.64,57.8,60.5,3.1599999999999966,2.7
778,Entrepreneurial Activities,16.6,13.61,12.87,-2.990000000000002,-0.74
779,Cash Receipts from Abroad,11.24,8.14,9.38,-3.0999999999999996,1.25
780,Cash Receipts from Domestic Sources,3.26,4.34,2.97,1.08,-1.37
781,Rentals Received,0.56,0.61,0.77,0.04999999999999993,0.17
782,Interest,0.04,0.06,0.04,0.019999999999999997,-0.03
783,Pension,2.77,2.64,2.48,-0.1299999999999999,-0.16
784,Dividends,0.03,0.11,0.27,0.08,0.16
785,"Other Source of Income, NEC",0.04,0.07,0.06,0.030000000000000006,0
786,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.15,0.21,0.12,0.06,-0.09
787,Net Receipt from Family Sustenance Activities,0.21,0.26,0.16,0.05000000000000002,-0.09
788,Received as Gifts,2.05,2.19,1.52,0.14000000000000012,-0.67
789,Imputed Rent,8.42,9.98,8.85,1.5600000000000005,-1.13
790,,,,,,
791,Batangas,,,,,
792,Share to Family Income,100,100.0,100,,
793,Wage/Salaries,51.7,55.02,53.16,3.3200000000000003,-1.86
794,Entrepreneurial Activities,17.89,13.73,14.78,-4.16,1.06
795,Cash Receipts from Abroad,13.97,9.42,11.32,-4.550000000000001,1.9
796,Cash Receipts from Domestic Sources,3.94,4.56,4.35,0.6199999999999997,-0.21
797,Rentals Received,0.31,0.46,1.57,0.15000000000000002,1.11
798,Interest,0.02,0.25,0.04,0.23,-0.21
799,Pension,1.95,2.49,1.97,0.5400000000000003,-0.53
800,Dividends,0.06,0.46,0.99,0.4,0.53
801,"Other Source of Income, NEC",0,0.08,0.15,0.08,0.07
802,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.11,0.51,0.19,0.4,-0.32
803,Net Receipt from Family Sustenance Activities,0.29,0.54,0.29,0.25000000000000006,-0.24
804,Received as Gifts,1.56,2.75,1.89,1.19,-0.87
805,Imputed Rent,8.21,9.72,9.29,1.5099999999999998,-0.43
806,,,,,,
807,Cavite,,,,,
808,Share to Family Income,100,100.0,100,,
809,Wage/Salaries,55.56,60.22,62.16,4.659999999999997,1.94
810,Entrepreneurial Activities,14.27,11.11,9.26,-3.16,-1.86
811,Cash Receipts from Abroad,11.22,9.92,12.81,-1.3000000000000007,2.89
812,Cash Receipts from Domestic Sources,3.05,3.58,1.96,0.5300000000000002,-1.62
813,Rentals Received,0.67,0.7,0.74,0.029999999999999916,0.04
814,Interest,0.05,0.03,0.06,-0.020000000000000004,0.03
815,Pension,3.54,2.5,2.65,-1.04,0.15
816,Dividends,0.02,0.06,0.12,0.039999999999999994,0.06
817,"Other Source of Income, NEC",0.01,0.03,0.06,0.019999999999999997,0.03
818,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.04,0.02,0.02,-0.02,-0.01
819,Net Receipt from Family Sustenance Activities,0.12,0.11,0.06,-0.009999999999999995,-0.06
820,Received as Gifts,2.39,1.87,1.33,-0.52,-0.54
821,Imputed Rent,9.08,9.84,8.78,0.7599999999999998,-1.06
822,,,,,,
823,Laguna,,,,,
824,Share to Family Income,100,100.0,100,,
825,Wage/Salaries,53.84,59.23,62.12,5.3899999999999935,2.88
826,Entrepreneurial Activities,18.68,13.54,13.8,-5.140000000000001,0.26
827,Cash Receipts from Abroad,11.52,7.19,7.45,-4.329999999999999,0.26
828,Cash Receipts from Domestic Sources,2.36,4.77,2.82,2.4099999999999997,-1.95
829,Rentals Received,0.56,0.44,0.72,-0.12000000000000005,0.27
830,Interest,0.01,0.0,0.04,-0.01,0.04
831,Pension,3.08,2.84,2.64,-0.2400000000000002,-0.21
832,Dividends,0.01,0.0,0.05,-0.01,0.05
833,"Other Source of Income, NEC",0.01,0.08,0.02,0.07,-0.06
834,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.13,0.08,0.04,-0.05,-0.04
835,Net Receipt from Family Sustenance Activities,0.17,0.14,0.12,-0.03,-0.02
836,Received as Gifts,1.54,2.17,1.73,0.6299999999999999,-0.44
837,Imputed Rent,8.1,9.51,8.46,1.4100000000000001,-1.06
838,,,,,,
839,Quezon (Excluding City of Lucena),,,,,
840,Share to Family Income,100,100.0,100,,
841,Wage/Salaries,45.7,45.36,50.41,-0.3400000000000034,5.05
842,Entrepreneurial Activities,24.18,20.49,20.99,-3.6900000000000013,0.5
843,Cash Receipts from Abroad,8.88,8.17,6.28,-0.7100000000000009,-1.89
844,Cash Receipts from Domestic Sources,6.76,7.68,6.55,0.9199999999999999,-1.13
845,Rentals Received,0.31,0.75,0.27,0.44,-0.48
846,Interest,0.01,0.02,0.01,0.01,-0.01
847,Pension,2.4,2.52,2.07,0.1200000000000001,-0.45
848,Dividends,0.02,0.04,0.61,0.02,0.56
