,"Table 7. Share to Total Family Expenditure, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
418,Hotels (Accommodation Services),0.03,0.01,0.03,-0.02,0.03
419,Insurance and Financial Services,0,2.97,3.67,2.97,0.7
420,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.04,3.57,3.44,-3.48,-0.13
421,Durable Furniture and Equipment,3.84,2.65,0.93,-1.19,-1.72
422,Special Family Occasion,2.95,1.26,1.3,-1.69,0.05
423,Other Expenditures,3.24,1.09,2.59,-2.15,1.5
424,,,,,,
425,CAR - CORDILLERA ADMINISTRATIVE REGION,,,,,
426,Share to Family Expenditure,100,100.0,100,,
427,Food and Non-Alcoholic Beverages,34.53,37.78,39.26,3.25,1.48
428,    Food Consumed at Home,30.98,35.95,36.59,4.96,0.64
429,    Food Regularly Consumed Outside the Home,3.55,1.83,2.66,-1.72,0.83
430,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.02,0.01,0.01
431,Alcoholic Beverages and Tobacco,1.36,1.48,1.24,0.12,-0.24
432,Clothing and Footwear,3.36,1.88,2.19,-1.47,0.31
433,"Housing, Water, Electricity, Gas and Other Fuels",24.21,25.06,24.19,0.85,-0.87
434,Furnishings and Routine Household Maintenance,1.96,1.46,2,-0.5,0.55
435,Health,3.56,3.53,2.96,-0.03,-0.57
436,Transport,7.44,6.39,6.55,-1.05,0.16
437,Information and Communication,2.48,3.7,3.59,1.22,-0.1
438,"Recreation, Sport and Culture",0.92,0.46,0.83,-0.46,0.36
439,Education,5.2,2.61,5.33,-2.59,2.72
440,Hotels (Accommodation Services),0.21,0.03,0.1,-0.18,0.08
441,Insurance and Financial Services,0,3.7,2.5,3.7,-1.19
442,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.17,3.79,3.08,-3.38,-0.71
443,Durable Furniture and Equipment,2.81,3.74,1.86,0.93,-1.88
444,Special Family Occasion,2.32,2.23,2.45,-0.08,0.22
445,Other Expenditures,2.47,2.16,1.85,-0.32,-0.31
446,,,,,,
447,Abra,,,,,
448,Share to Family Expenditure,100,100.0,100,,
449,Food and Non-Alcoholic Beverages,45.97,46.57,46.03,0.61,-0.54
450,    Food Consumed at Home,41.85,45.75,44.63,3.9,-1.12
451,    Food Regularly Consumed Outside the Home,4.11,0.81,1.4,-3.3,0.58
452,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
453,Alcoholic Beverages and Tobacco,1.71,1.63,1.61,-0.08,-0.02
454,Clothing and Footwear,3.23,1.83,1.98,-1.4,0.15
455,"Housing, Water, Electricity, Gas and Other Fuels",19.65,22.84,17.7,3.19,-5.14
456,Furnishings and Routine Household Maintenance,2.16,1.45,2.22,-0.7,0.77
457,Health,2.67,2.35,2.16,-0.33,-0.19
458,Transport,6.02,4.52,5.67,-1.5,1.15
459,Information and Communication,1.72,2.68,3.4,0.96,0.72
460,"Recreation, Sport and Culture",0.69,0.26,0.62,-0.43,0.36
461,Education,2.31,1.47,5.64,-0.84,4.17
462,Hotels (Accommodation Services),0.12,0.03,0.14,-0.09,0.11
463,Insurance and Financial Services,0,2.02,1.93,2.02,-0.09
464,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.94,5.35,3.22,-2.58,-2.13
465,Durable Furniture and Equipment,2.44,3.35,3.78,0.91,0.43
466,Special Family Occasion,1.83,2.17,2.5,0.34,0.33
467,Other Expenditures,1.53,1.46,1.4,-0.07,-0.07
468,,,,,,
469,Benguet (Excluding City of Baguio),,,,,
470,Share to Family Expenditure,100,100.0,100,,
471,Food and Non-Alcoholic Beverages,31.09,37.54,36.68,6.45,-0.87
472,    Food Consumed at Home,27.84,35.26,34.55,7.41,-0.71
473,    Food Regularly Consumed Outside the Home,3.25,2.28,2.13,-0.98,-0.15
474,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
475,Alcoholic Beverages and Tobacco,1.15,1.35,1.21,0.2,-0.14
476,Clothing and Footwear,3.71,2.03,2.1,-1.69,0.07
477,"Housing, Water, Electricity, Gas and Other Fuels",25.44,23.05,29.75,-2.39,6.7
478,Furnishings and Routine Household Maintenance,1.87,1.42,1.73,-0.45,0.31
479,Health,4.52,4.17,3.25,-0.34,-0.93
480,Transport,8.72,8.02,7.14,-0.71,-0.88
481,Information and Communication,2.46,3.33,3.32,0.87,-0.01
482,"Recreation, Sport and Culture",0.96,0.63,0.86,-0.32,0.22
483,Education,5.7,2.72,5.1,-2.99,2.39
484,Hotels (Accommodation Services),0.24,0.03,0.04,-0.21,0.01
485,Insurance and Financial Services,0,3.24,2.48,3.24,-0.76
486,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.2,3.45,2.86,-2.75,-0.59
487,Durable Furniture and Equipment,2.17,4.26,0.73,2.09,-3.53
488,Special Family Occasion,2.41,1.99,1.64,-0.42,-0.35
489,Other Expenditures,3.36,2.78,1.13,-0.58,-1.65
490,,,,,,
491,City of Baguio,,,,,
492,Share to Family Expenditure,100,100.0,100,,
493,Food and Non-Alcoholic Beverages,25.85,31.73,34.29,5.88,2.55
494,    Food Consumed at Home,22.17,29.53,31.14,7.36,1.61
495,    Food Regularly Consumed Outside the Home,3.68,2.2,3.13,-1.48,0.94
496,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0.01
497,Alcoholic Beverages and Tobacco,0.86,1.0,0.81,0.14,-0.19
498,Clothing and Footwear,2.83,1.23,1.61,-1.61,0.38
499,"Housing, Water, Electricity, Gas and Other Fuels",31.21,35.28,29.69,4.08,-5.6
500,Furnishings and Routine Household Maintenance,2.05,1.27,1.85,-0.77,0.58
501,Health,3.6,2.97,3.19,-0.63,0.22
502,Transport,7.72,5.31,7.35,-2.41,2.05
503,Information and Communication,3.72,4.89,5.03,1.17,0.15
504,"Recreation, Sport and Culture",1.14,0.46,0.89,-0.68,0.43
505,Education,6.36,3.63,6.67,-2.73,3.04
506,Hotels (Accommodation Services),0.13,0.04,0.02,-0.08,-0.02
507,Insurance and Financial Services,0,4.48,2.58,4.48,-1.9
508,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.85,3.05,3.04,-4.8,-0.01
509,Durable Furniture and Equipment,3.13,2.07,0.46,-1.07,-1.61
510,Special Family Occasion,1.63,1.26,1.27,-0.37,0.01
511,Other Expenditures,1.93,1.33,1.25,-0.6,-0.08
512,,,,,,
513,Ifugao,,,,,
514,Share to Family Expenditure,100,100.0,100,,
515,Food and Non-Alcoholic Beverages,41.5,39.95,39.73,-1.55,-0.22
516,    Food Consumed at Home,38.25,39.02,37.38,0.78,-1.65
517,    Food Regularly Consumed Outside the Home,3.26,0.92,2.34,-2.33,1.42
518,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0.01
519,Alcoholic Beverages and Tobacco,2.2,2.09,1.66,-0.12,-0.42
520,Clothing and Footwear,4.07,2.3,2.47,-1.77,0.17
521,"Housing, Water, Electricity, Gas and Other Fuels",16.98,18.07,18.96,1.09,0.89
522,Furnishings and Routine Household Maintenance,1.99,1.35,1.9,-0.64,0.55
523,Health,2.98,3.17,3.12,0.19,-0.05
524,Transport,7.28,7.0,6.37,-0.27,-0.63
525,Information and Communication,1.52,3.42,3.21,1.9,-0.21
526,"Recreation, Sport and Culture",0.69,0.43,0.73,-0.25,0.3
527,Education,3.47,1.87,5.84,-1.6,3.97
528,Hotels (Accommodation Services),0.3,0.0,0.27,-0.3,0.26
529,Insurance and Financial Services,0,2.74,2.81,2.74,0.07
530,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.59,3.36,2.84,-4.23,-0.53
531,Durable Furniture and Equipment,3.51,7.59,1.72,4.08,-5.86
532,Special Family Occasion,3.26,4.69,4.75,1.43,0.06
533,Other Expenditures,2.66,1.96,3.63,-0.69,1.66
534,,,,,,
535,Kalinga,,,,,
536,Share to Family Expenditure,100,100.0,100,,
537,Food and Non-Alcoholic Beverages,47.22,41.14,44.44,-6.08,3.3
538,    Food Consumed at Home,41.56,38.95,41.43,-2.61,2.48
539,    Food Regularly Consumed Outside the Home,5.66,2.19,3.01,-3.47,0.82
540,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
541,Alcoholic Beverages and Tobacco,2.13,2.0,1.54,-0.13,-0.46
542,Clothing and Footwear,2.77,2.37,2.93,-0.4,0.56
543,"Housing, Water, Electricity, Gas and Other Fuels",17.99,19.57,18.57,1.58,-1.01
544,Furnishings and Routine Household Maintenance,1.6,1.87,2.52,0.27,0.65
545,Health,3.01,3.43,3.48,0.42,0.05
546,Transport,6.91,7.25,6.13,0.34,-1.12
547,Information and Communication,1.21,3.31,2.84,2.1,-0.47
548,"Recreation, Sport and Culture",0.6,0.24,0.76,-0.35,0.52
549,Education,2.96,2.25,4.42,-0.71,2.18
550,Hotels (Accommodation Services),0.25,0.01,0.05,-0.24,0.04
551,Insurance and Financial Services,0,3.72,1.87,3.72,-1.84
552,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.33,5.12,3.57,-1.21,-1.55
553,Durable Furniture and Equipment,3.34,3.88,1.88,0.54,-2
554,Special Family Occasion,2.34,2.39,3.32,0.04,0.94
555,Other Expenditures,1.34,1.45,1.67,0.11,0.22
556,,,,,,
557,Mountain Province,,,,,
558,Share to Family Expenditure,100,100.0,100,,
559,Food and Non-Alcoholic Beverages,42.26,40.69,42.7,-1.57,2.01
560,    Food Consumed at Home,40.33,39.38,40.57,-0.95,1.19
561,    Food Regularly Consumed Outside the Home,1.93,1.3,2.11,-0.62,0.81
562,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.02,0,0.01
563,Alcoholic Beverages and Tobacco,1.75,1.26,1.02,-0.5,-0.24
564,Clothing and Footwear,4.22,2.19,2.94,-2.03,0.76
565,"Housing, Water, Electricity, Gas and Other Fuels",14.77,17.13,14.95,2.36,-2.18
566,Furnishings and Routine Household Maintenance,1.99,1.32,2.18,-0.66,0.86
567,Health,2.91,2.82,2.12,-0.09,-0.7
568,Transport,3.84,4.79,4.93,0.95,0.15
569,Information and Communication,1.46,3.28,2.32,1.82,-0.96
570,"Recreation, Sport and Culture",0.96,0.45,0.99,-0.51,0.54
571,Education,4.42,2.0,3.77,-2.41,1.76
572,Hotels (Accommodation Services),0.5,0.01,0.16,-0.49,0.15
573,Insurance and Financial Services,0,6.28,4.25,6.28,-2.03
574,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.59,3.53,3.11,-4.06,-0.42
575,Durable Furniture and Equipment,2.64,4.93,5.52,2.3,0.59
576,Special Family Occasion,4.99,3.65,4.45,-1.34,0.79
577,Other Expenditures,5.72,5.66,4.59,-0.05,-1.07
578,,,,,,
579,Apayao,,,,,
580,Share to Family Expenditure,100,100.0,100,,
581,Food and Non-Alcoholic Beverages,41.72,41.86,45.73,0.14,3.88
582,    Food Consumed at Home,40.81,41.27,39.89,0.46,-1.37
583,    Food Regularly Consumed Outside the Home,0.91,0.56,5.68,-0.35,5.12
584,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.03,0.16,0.03,0.13
585,Alcoholic Beverages and Tobacco,1.71,2.69,1.69,0.98,-1
586,Clothing and Footwear,4.16,2.73,2.88,-1.43,0.15
587,"Housing, Water, Electricity, Gas and Other Fuels",15.88,16.71,15.82,0.83,-0.89
588,Furnishings and Routine Household Maintenance,2.24,2.15,2.48,-0.09,0.33
589,Health,2.53,7.49,2.04,4.96,-5.45
590,Transport,7,6.08,5.06,-0.92,-1.02
591,Information and Communication,1.28,2.73,2.32,1.45,-0.41
592,"Recreation, Sport and Culture",0.73,0.48,0.85,-0.25,0.38
593,Education,9.4,1.27,2.78,-8.13,1.51
594,Hotels (Accommodation Services),0.15,0.01,0.53,-0.14,0.52
595,Insurance and Financial Services,0,3.3,1.96,3.3,-1.33
596,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.24,5.09,3.44,-2.14,-1.66
597,Durable Furniture and Equipment,2.78,2.36,5.2,-0.41,2.84
598,Special Family Occasion,2.33,2.71,4.08,0.39,1.36
599,Other Expenditures,0.86,2.33,3.12,1.47,0.79
600,,,,,,
601,REGION I - ILOCOS REGION,,,,,
602,Share to Family Expenditure,100,100.0,100,,
603,Food and Non-Alcoholic Beverages,46.64,42.59,43.14,-4.05,0.55
604,    Food Consumed at Home,34.82,39.06,36.79,4.24,-2.27
605,    Food Regularly Consumed Outside the Home,11.82,3.52,6.34,-8.3,2.82
606,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
607,Alcoholic Beverages and Tobacco,1.75,1.72,1.49,-0.04,-0.23
608,Clothing and Footwear,2.18,1.56,1.75,-0.62,0.19
609,"Housing, Water, Electricity, Gas and Other Fuels",18.43,21.82,21.1,3.4,-0.73
610,Furnishings and Routine Household Maintenance,2.5,2.22,2.52,-0.29,0.3
611,Health,2.79,4.29,3.12,1.5,-1.17
612,Transport,6.08,5.25,6.77,-0.83,1.51
613,Information and Communication,1.94,3.35,3.53,1.41,0.18
614,"Recreation, Sport and Culture",0.69,0.48,0.76,-0.21,0.28
615,Education,2.1,1.77,3.56,-0.33,1.79
616,Hotels (Accommodation Services),0.54,0.08,0.34,-0.45,0.25
617,Insurance and Financial Services,0,2.91,2.3,2.91,-0.6
618,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.99,5.13,4.01,-1.86,-1.12
619,Durable Furniture and Equipment,2.99,3.15,1.99,0.16,-1.15
620,Special Family Occasion,2.58,2.3,2.09,-0.28,-0.22
621,Other Expenditures,1.79,1.39,1.55,-0.41,0.17
622,,,,,,
623,Ilocos Norte,,,,,
624,Share to Family Expenditure,100,100.0,100,,
625,Food and Non-Alcoholic Beverages,44.67,46.04,46.9,1.37,0.86
626,    Food Consumed at Home,33.81,42.0,41.39,8.19,-0.61
627,    Food Regularly Consumed Outside the Home,10.86,4.04,5.51,-6.82,1.47
628,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0
629,Alcoholic Beverages and Tobacco,1.62,1.31,1.08,-0.31,-0.22
630,Clothing and Footwear,2.25,1.68,1.98,-0.57,0.3
631,"Housing, Water, Electricity, Gas and Other Fuels",19.19,19.27,17.03,0.08,-2.24
632,Furnishings and Routine Household Maintenance,2.26,2.05,2.33,-0.21,0.28
633,Health,3.09,3.22,2.41,0.12,-0.81
634,Transport,6.28,5.73,7.61,-0.55,1.89
635,Information and Communication,2.18,3.79,3.91,1.6,0.13
636,"Recreation, Sport and Culture",0.74,0.33,0.47,-0.42,0.14
637,Education,1.67,1.04,1.68,-0.63,0.64
638,Hotels (Accommodation Services),0.24,0.02,0.12,-0.23,0.1
639,Insurance and Financial Services,0,3.3,2.48,3.3,-0.83
640,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.92,4.82,3.7,-2.1,-1.12
641,Durable Furniture and Equipment,4.17,4.44,4.83,0.27,0.39
642,Special Family Occasion,3.56,1.96,2.51,-1.6,0.55
643,Other Expenditures,1.15,1.02,0.96,-0.13,-0.05
644,,,,,,
645,Ilocos Sur,,,,,
646,Share to Family Expenditure,100,100.0,100,,
647,Food and Non-Alcoholic Beverages,44.52,40.4,37.35,-4.12,-3.05
648,    Food Consumed at Home,35.71,39.24,35.1,3.53,-4.15
649,    Food Regularly Consumed Outside the Home,8.82,1.13,2.25,-7.68,1.12
650,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.03,0,0.03,-0.02
651,Alcoholic Beverages and Tobacco,1.85,2.29,1.94,0.44,-0.35
652,Clothing and Footwear,2.11,2.0,1.6,-0.12,-0.4
653,"Housing, Water, Electricity, Gas and Other Fuels",19.9,23.02,24.86,3.11,1.84
654,Furnishings and Routine Household Maintenance,2.48,2.0,2.43,-0.47,0.42
655,Health,3.34,4.38,3.93,1.04,-0.44
656,Transport,6.39,4.69,6.38,-1.7,1.7
657,Information and Communication,2.33,3.6,3.92,1.27,0.32
658,"Recreation, Sport and Culture",0.53,0.31,0.75,-0.22,0.44
659,Education,1.58,1.25,5.87,-0.33,4.62
660,Hotels (Accommodation Services),0.11,0.02,0.05,-0.1,0.04
661,Insurance and Financial Services,0,2.37,2.2,2.37,-0.17
662,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.09,5.02,3.63,-1.07,-1.39
663,Durable Furniture and Equipment,3.87,4.78,1.61,0.91,-3.17
664,Special Family Occasion,3.77,2.74,2.2,-1.03,-0.54
665,Other Expenditures,1.12,1.14,1.28,0.02,0.14
666,,,,,,
667,La Union,,,,,
668,Share to Family Expenditure,100,100.0,100,,
669,Food and Non-Alcoholic Beverages,45.2,41.23,42.13,-3.97,0.9
670,    Food Consumed at Home,33.3,38.52,37.66,5.21,-0.86
671,    Food Regularly Consumed Outside the Home,11.9,2.71,4.46,-9.19,1.75
672,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.02,0.01,0.01
673,Alcoholic Beverages and Tobacco,1.65,1.52,1.64,-0.13,0.12
674,Clothing and Footwear,2.88,1.49,2.18,-1.39,0.7
675,"Housing, Water, Electricity, Gas and Other Fuels",17.38,20.88,19.11,3.5,-1.77
676,Furnishings and Routine Household Maintenance,2.47,2.38,2.57,-0.09,0.19
677,Health,3.22,4.59,3.02,1.37,-1.56
678,Transport,6.63,5.42,6.48,-1.22,1.06
679,Information and Communication,2.11,3.62,3.47,1.51,-0.15
680,"Recreation, Sport and Culture",0.79,0.65,0.93,-0.14,0.28
681,Education,2.27,1.91,5.61,-0.35,3.7
682,Hotels (Accommodation Services),0.62,0.06,0.2,-0.56,0.14
683,Insurance and Financial Services,0,3.23,3,3.23,-0.23
684,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.39,5.43,3.9,-1.96,-1.53
685,Durable Furniture and Equipment,2.93,3.13,1.8,0.2,-1.33
686,Special Family Occasion,2.8,2.44,2.47,-0.36,0.03
687,Other Expenditures,1.66,2.03,1.48,0.37,-0.55
688,,,,,,
689,Pangasinan,,,,,
690,Share to Family Expenditure,100,100.0,100,,
691,Food and Non-Alcoholic Beverages,47.94,42.69,43.82,-5.24,1.13
692,    Food Consumed at Home,35.31,38.49,35.6,3.18,-2.89
693,    Food Regularly Consumed Outside the Home,12.63,4.2,8.22,-8.43,4.02
694,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
695,Alcoholic Beverages and Tobacco,1.8,1.74,1.44,-0.06,-0.3
696,Clothing and Footwear,1.97,1.45,1.58,-0.53,0.13
697,"Housing, Water, Electricity, Gas and Other Fuels",18.25,22.44,22,4.18,-0.44
698,Furnishings and Routine Household Maintenance,2.57,2.26,2.58,-0.32,0.32
699,Health,2.48,4.44,3.16,1.95,-1.28
700,Transport,5.82,5.22,6.71,-0.6,1.49
701,Information and Communication,1.76,3.11,3.33,1.35,0.23
702,"Recreation, Sport and Culture",0.69,0.5,0.79,-0.18,0.28
703,Education,2.26,2.02,2.85,-0.24,0.83
704,Hotels (Accommodation Services),0.67,0.12,0.51,-0.54,0.39
705,Insurance and Financial Services,0,2.84,2.05,2.84,-0.79
706,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.08,5.13,4.23,-1.94,-0.91
707,Durable Furniture and Equipment,2.55,2.46,1.33,-0.09,-1.13
708,Special Family Occasion,2.05,2.24,1.81,0.19,-0.43
709,Other Expenditures,2.12,1.34,1.82,-0.78,0.48
710,,,,,,
711,REGION II - CAGAYAN VALLEY,,,,,
712,Share to Family Expenditure,100,100.0,100,,
713,Food and Non-Alcoholic Beverages,46.8,42.87,42.14,-3.93,-0.73
714,    Food Consumed at Home,39.48,41.65,37.11,2.17,-4.54
715,    Food Regularly Consumed Outside the Home,7.32,1.21,5.02,-6.11,3.81
716,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
717,Alcoholic Beverages and Tobacco,2.31,2.42,1.91,0.1,-0.51
718,Clothing and Footwear,2.59,1.74,1.94,-0.84,0.2
719,"Housing, Water, Electricity, Gas and Other Fuels",17.99,22.19,21.46,4.2,-0.74
720,Furnishings and Routine Household Maintenance,2.17,2.11,2.57,-0.05,0.45
721,Health,2.31,3.61,2.88,1.3,-0.73
722,Transport,6.22,5.97,6.66,-0.25,0.69
723,Information and Communication,1.75,3.53,3.48,1.78,-0.04
724,"Recreation, Sport and Culture",0.68,0.4,0.76,-0.28,0.36
725,Education,2.27,1.42,4.14,-0.85,2.72
726,Hotels (Accommodation Services),0.24,0.04,0.18,-0.21,0.14
727,Insurance and Financial Services,0,2.77,2.08,2.77,-0.69
728,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.83,4.98,3.61,-1.85,-1.37
729,Durable Furniture and Equipment,3.09,2.88,2.38,-0.21,-0.51
730,Special Family Occasion,2.75,1.83,2.38,-0.92,0.56
731,Other Expenditures,2,1.25,1.45,-0.75,0.19
732,,,,,,
733,Batanes,,,,,
734,Share to Family Expenditure,100,100.0,100,,
735,Food and Non-Alcoholic Beverages,32.59,29.79,34.1,-2.8,4.31
736,    Food Consumed at Home,31.43,29.33,33.83,-2.1,4.5
737,    Food Regularly Consumed Outside the Home,1.15,0.46,0.27,-0.69,-0.19
738,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
739,Alcoholic Beverages and Tobacco,1.61,1.39,1.62,-0.21,0.23
740,Clothing and Footwear,3.75,2.05,2.23,-1.7,0.18
741,"Housing, Water, Electricity, Gas and Other Fuels",22.7,25.49,25.64,2.79,0.15
742,Furnishings and Routine Household Maintenance,2.39,2.45,2.73,0.05,0.28
743,Health,2.41,4.6,2.88,2.19,-1.72
744,Transport,6.63,7.07,7.33,0.44,0.26
745,Information and Communication,2.51,4.64,3.83,2.13,-0.82
746,"Recreation, Sport and Culture",1.07,0.38,0.3,-0.69,-0.08
747,Education,2.58,2.31,3.84,-0.27,1.53
748,Hotels (Accommodation Services),0,0.21,0.04,0.21,-0.17
749,Insurance and Financial Services,0,3.58,3.32,3.58,-0.27
750,"Personal Care, Social Protection and Miscellaneous Goods and Services",8.69,3.84,3.06,-4.84,-0.78
751,Durable Furniture and Equipment,5.43,4.35,2.76,-1.09,-1.58
752,Special Family Occasion,4.53,4.66,3.69,0.13,-0.97
753,Other Expenditures,3.11,3.18,2.65,0.08,-0.54
754,,,,,,
755,Cagayan,,,,,
756,Share to Family Expenditure,100,100.0,100,,
757,Food and Non-Alcoholic Beverages,46.12,42.93,43.09,-3.19,0.16
758,    Food Consumed at Home,39.59,42.05,38.48,2.46,-3.58
759,    Food Regularly Consumed Outside the Home,6.52,0.87,4.61,-5.65,3.74
760,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,0
761,Alcoholic Beverages and Tobacco,2.44,2.78,1.89,0.34,-0.89
762,Clothing and Footwear,2.53,1.92,1.83,-0.61,-0.09
763,"Housing, Water, Electricity, Gas and Other Fuels",18.82,22.49,21.39,3.67,-1.1
764,Furnishings and Routine Household Maintenance,2.05,2.23,2.8,0.18,0.57
765,Health,2.45,2.99,2.56,0.54,-0.43
766,Transport,5.94,5.08,6.71,-0.86,1.63
767,Information and Communication,1.71,3.59,3.55,1.88,-0.04
768,"Recreation, Sport and Culture",0.79,0.45,0.65,-0.34,0.21
769,Education,2.12,1.38,3.72,-0.73,2.34
770,Hotels (Accommodation Services),0.29,0.06,0.19,-0.22,0.12
771,Insurance and Financial Services,0,2.11,1.65,2.11,-0.46
772,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.98,4.87,3.47,-1.1,-1.41
773,Durable Furniture and Equipment,3.83,3.67,2.67,-0.16,-1
774,Special Family Occasion,3.03,1.9,2.51,-1.12,0.61
775,Other Expenditures,1.91,1.55,1.32,-0.36,-0.23
776,,,,,,
777,Isabela,,,,,
778,Share to Family Expenditure,100,100.0,100,,
779,Food and Non-Alcoholic Beverages,48.92,42.78,41.9,-6.14,-0.89
780,    Food Consumed at Home,40.7,41.33,36.11,0.62,-5.22
781,    Food Regularly Consumed Outside the Home,8.22,1.45,5.78,-6.77,4.33
782,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
783,Alcoholic Beverages and Tobacco,2.33,2.31,1.97,-0.02,-0.34
784,Clothing and Footwear,2.42,1.49,1.72,-0.92,0.23
785,"Housing, Water, Electricity, Gas and Other Fuels",17.88,23.33,22.77,5.45,-0.56
786,Furnishings and Routine Household Maintenance,2.22,2.12,2.42,-0.1,0.3
787,Health,1.89,3.86,3.24,1.98,-0.62
788,Transport,6.2,6.09,6.34,-0.11,0.25
789,Information and Communication,1.67,3.45,3.42,1.78,-0.03
790,"Recreation, Sport and Culture",0.56,0.34,0.76,-0.22,0.42
791,Education,1.74,1.36,3.94,-0.38,2.58
792,Hotels (Accommodation Services),0.21,0.01,0.23,-0.2,0.22
793,Insurance and Financial Services,0,3.31,1.96,3.31,-1.35
794,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.07,5.16,3.83,-1.91,-1.34
795,Durable Furniture and Equipment,2,1.83,1.89,-0.17,0.06
796,Special Family Occasion,2.64,1.63,2.43,-1.01,0.79
797,Other Expenditures,2.26,0.91,1.19,-1.35,0.28
798,,,,,,
799,Nueva Vizcaya,,,,,
800,Share to Family Expenditure,100,100.0,100,,
801,Food and Non-Alcoholic Beverages,44.52,43.9,41.73,-0.63,-2.17
802,    Food Consumed at Home,36.56,42.57,36.94,6.01,-5.63
803,    Food Regularly Consumed Outside the Home,7.96,1.32,4.79,-6.64,3.47
804,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
805,Alcoholic Beverages and Tobacco,2.14,2.09,1.89,-0.04,-0.2
806,Clothing and Footwear,2.91,1.87,2.56,-1.04,0.69
807,"Housing, Water, Electricity, Gas and Other Fuels",17.2,19.19,18.42,2,-0.77
808,Furnishings and Routine Household Maintenance,2.22,1.84,2.55,-0.38,0.72
809,Health,2.86,4.22,2.59,1.35,-1.63
810,Transport,6.89,7.44,7.33,0.56,-0.11
811,Information and Communication,2.04,3.51,3.46,1.46,-0.05
812,"Recreation, Sport and Culture",0.73,0.43,1,-0.3,0.57
813,Education,3.76,1.66,5.12,-2.1,3.46
814,Hotels (Accommodation Services),0.26,0.04,0.06,-0.23,0.03
815,Insurance and Financial Services,0,2.47,2.91,2.47,0.45
816,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.77,4.85,3.39,-2.92,-1.46
817,Durable Furniture and Equipment,2.75,3.72,3.16,0.98,-0.57
818,Special Family Occasion,2.45,1.85,1.84,-0.6,-0.01
819,Other Expenditures,1.5,0.93,1.98,-0.57,1.05
820,,,,,,
821,Quirino,,,,,
822,Share to Family Expenditure,100,100.0,100,,
823,Food and Non-Alcoholic Beverages,43.48,42.44,40.06,-1.05,-2.38
824,    Food Consumed at Home,38.88,41.01,37.39,2.13,-3.62
825,    Food Regularly Consumed Outside the Home,4.61,1.36,2.65,-3.24,1.29
826,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.07,0.01,0.07,-0.05
827,Alcoholic Beverages and Tobacco,1.98,1.96,1.62,-0.02,-0.34
828,Clothing and Footwear,3.19,2.24,2.58,-0.95,0.35
829,"Housing, Water, Electricity, Gas and Other Fuels",15.18,18.93,19.51,3.75,0.58
830,Furnishings and Routine Household Maintenance,2.34,2.04,2.18,-0.3,0.14
831,Health,3.01,3.74,2.97,0.73,-0.77
832,Transport,6.12,6.37,6.76,0.25,0.4
