,"Table 3. Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
57,City of Angeles,39223.47,2354.89,2710.55,2890.25,3244.12,3542.74,3573.39,4073.35,4388.53,4835.36,7610.29,56827.9,3435.55,3815.46,4256.86,4407.98,5035.15,5289.04,5551.37,6160.52,6786.25,12089.72,69727.85,4790.08,5672.65,5843.41,6195.45,6770.01,6937.27,7303.45,7785.74,8178.31,10251.47,44.88,45.89,40.76,47.28,35.88,42.13,48.01,36.29,40.38,40.35,58.86,22.7,39.43,48.68,37.27,40.55,34.45,31.16,31.56,26.38,20.51,-15.21
58,Tarlac,91533.05,4231.54,5327.98,6496.71,6466.49,7405.57,7916.9,9239,10547.86,13060.01,20841,107978.41,5397.04,6497.31,7184.48,8173.06,8117.4,9527.58,10801.66,12190.41,15315.64,24773.83,134488.68,6617.01,9334,10067.02,10914.86,11876.29,12847.06,12848.77,14509.09,18206.08,27268.5,17.97,27.54,21.95,10.59,26.39,9.61,20.34,16.91,15.57,17.27,18.87,24.55,22.6,43.66,40.12,33.55,46.31,34.84,18.95,19.02,18.87,10.07
59,Zambales (Excluding City of Olongapo),45949.56,1936.71,2672.41,2950.4,3119.7,3333.45,4066.04,4757.47,5337.52,6511.52,11264.34,42752.79,2308.95,2522.44,2911.45,3143.7,3492.34,3715.66,4233.61,4568.97,6227.76,9627.91,53999.2,3028.96,3585.27,4008.02,4321.68,4762.56,4842.27,6020.65,5964.7,6981.47,10483.62,-6.96,19.22,-5.61,-1.32,0.77,4.77,-8.62,-11.01,-14.4,-4.36,-14.53,26.31,31.18,42.14,37.66,37.47,36.37,30.32,42.21,30.55,12.1,8.89
60,City of Olongapo,22265.22,1131.24,1421.29,1591.07,1578.96,1869.6,2193.13,2316.67,2603.01,2842.26,4717.99,20650.47,1125.59,1364.91,1498.35,1620.3,1906.31,1918.49,2229.36,2370.3,2571.14,4045.72,24236.46,1275.6,1597.58,1722.11,2085.23,2162.14,2230.99,2552.52,2554.26,3106.78,4949.24,-7.25,-0.5,-3.97,-5.83,2.62,1.96,-12.52,-3.77,-8.94,-9.54,-14.25,17.37,13.33,17.05,14.93,28.69,13.42,16.29,14.5,7.76,20.83,22.33
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,REGION IVA - CALABARZON,1444428.65,54781.78,74341.12,87897.35,98515.5,114417.39,128966.66,146255.85,168480.23,209917.92,360854.86,1473719.35,61298.83,80857,93968.81,108809.4,118461.02,135159.05,149952.62,173252.1,202523.93,349436.59,1835949.76,80670.76,100678.6,117182.1,131639.23,147110,162806.73,189844.33,210363.29,256395.36,439259.36,2.03,11.9,8.76,6.91,10.45,3.53,4.8,2.53,2.83,-3.52,-3.16,24.58,31.6,24.51,24.7,20.98,24.18,20.46,26.6,21.42,26.6,25.71
63,Batangas,245525.68,10695.71,12515.48,15720.82,16173.37,19888.3,21272.83,22652.89,27584.76,35574.04,63447.48,270317.58,13491.75,15926.96,18281.64,19775.34,20659.39,25011.22,26880.54,34258.81,34933.99,61097.96,327130.55,15812.56,18803.46,21804.79,24124.34,27332.17,28811.43,31639.43,37867.52,44228.13,76706.73,10.1,26.14,27.26,16.29,22.27,3.88,17.57,18.66,24.19,-1.8,-3.7,21.02,17.2,18.06,19.27,21.99,32.3,15.19,17.7,10.53,26.6,25.55
64,Cavite,391492.64,16117.17,23321.84,26593.72,27944.31,31693.93,38671.54,39938.19,48075.92,55236.85,83899.16,426816.26,18926.84,24877.93,29622.38,32946,36300.78,38078.24,43195.63,46207.2,56578.75,100082.52,527020.97,25575.28,33277.06,35966.51,39130.95,44609.95,51832.31,52854.2,57280.39,76099.32,110395.01,9.02,17.43,6.67,11.39,17.9,14.54,-1.53,8.16,-3.89,2.43,19.29,23.48,35.13,33.76,21.42,18.77,22.89,36.12,22.36,23.96,34.5,10.3
65,Laguna,344571.35,13051.98,18221.79,20325.42,25085.78,27496.58,30374.5,34663.55,42149.4,50780.31,82422.04,326574.32,14014.76,18402.11,22174.15,24572.53,26591.21,30778.49,35469.85,39439.6,45302,69829.63,440820.18,20268.14,25889.19,28537.96,32799.71,35510.49,42435.89,43380.88,51280.57,58380.15,102337.19,-5.22,7.38,0.99,9.1,-2.05,-3.29,1.33,2.33,-6.43,-10.79,-15.28,34.98,44.62,40.69,28.7,33.48,33.54,37.88,22.3,30.02,28.87,46.55
66,Quezon (Excluding City of Lucena),105870.62,4739.06,5987.2,6970.13,7203.8,8103.12,8451.44,9884.88,11712.3,14244.78,28573.92,105817.25,4796.6,6300.99,6944.43,7537.52,7933.01,8672.98,10094.18,11324.58,14262.63,27950.32,122275.35,7148.38,8407.99,8616.78,9397.29,9531.77,10208.91,11630.54,13607.76,14819.26,28906.68,-0.05,1.21,5.24,-0.37,4.63,-2.1,2.62,2.12,-3.31,0.13,-2.18,15.55,49.03,33.44,24.08,24.67,20.15,17.71,15.22,20.16,3.9,3.42
67,City of Lucena,23064.57,1043.15,1219.79,1579.76,1538.79,1770.62,1890.71,2131.37,3033.83,3538.47,5318.08,21943.32,1039.3,1312.24,1291.04,1492.04,1644.74,1932.87,2112.32,2467.61,2859.45,5791.72,24776.36,1390.04,1629.41,1743.22,1899.58,2115.9,2304.01,2439.65,2532.32,3439.64,5282.6,-4.86,-0.37,7.58,-18.28,-3.04,-7.11,2.23,-0.89,-18.66,-19.19,8.91,12.91,33.75,24.17,35.02,27.31,28.65,19.2,15.5,2.62,20.29,-8.79
68,Rizal,333903.8,13703.73,18250.45,20804.79,22669.76,25312.35,29400.4,31899.29,35762.28,46075.02,90025.73,322250.62,15356.55,18889.84,21328.7,23396.67,26240.96,27043.22,32114.31,34946.29,44667.49,78266.59,393926.36,16888.04,20830.74,24165.49,27081.26,28256.09,31842.8,40224.12,44402.91,52516.61,107718.31,-3.49,12.06,3.5,2.52,3.21,3.67,-8.02,0.67,-2.28,-3.05,-13.06,22.24,9.97,10.27,13.3,15.75,7.68,17.75,25.25,27.06,17.57,37.63
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,MIMAROPA REGION,189684.3,8121.15,10336.37,11338.73,12140.92,13262.76,14480.21,16642,19611.39,25744.75,58006,200723.78,8366.8,10452.19,11893.46,12792.05,14221.78,15697.46,17357.48,20732.94,28904.36,60305.26,219015.17,9526.67,12795.43,13356.05,14099.56,16100.53,17052.97,19062.68,22951.97,28244.71,65824.6,5.82,3.02,1.12,4.89,5.36,7.23,8.41,4.3,5.72,12.27,3.96,9.11,13.86,22.42,12.3,10.22,13.21,8.64,9.82,10.7,-2.28,9.15
71,Marinduque,13929.42,633.02,768.73,863.27,952.1,954.78,1047.45,1189.31,1532.68,1943.16,4044.93,13151.6,682.49,776.24,828.61,944.59,941.58,1089.89,1219.86,1308.57,1910.66,3449.11,16627.8,919.32,1033.96,1117.38,1235.47,1192.88,1298.28,1484.08,1700.7,2161.66,4484.07,-5.58,7.81,0.98,-4.01,-0.79,-1.38,4.05,2.57,-14.62,-1.67,-14.73,26.43,34.7,33.2,34.85,30.79,26.69,19.12,21.66,29.97,13.14,30.01
72,Occidental Mindoro,29226.21,1003.57,1470.28,1544.07,1769.82,1873.36,1993.36,2395.74,2769.89,4133.1,10273.03,31183.79,1156.16,1546.83,1777.86,1925.43,2124.86,2593.24,2708.07,3502.41,4642.68,9206.25,35510.45,1282.25,1792.72,2136.87,2223.39,2465.67,2541.57,2926.43,3707.63,4936.32,11497.6,6.7,15.2,5.21,15.14,8.79,13.43,30.09,13.04,26.45,12.33,-10.38,13.87,10.91,15.9,20.19,15.48,16.04,-1.99,8.06,5.86,6.32,24.89
73,Oriental Mindoro,59707.97,2568.51,3175.03,3330.9,3855.74,4063.63,4259.81,5139.45,5986.94,7939.16,19388.8,60870.13,2194.8,2990.86,3519.62,3678.67,4494.15,4774.36,5599.73,6613.13,9094.49,17910.32,58399.02,2635.6,3563.22,3824.55,4266.93,4977.62,4720.8,5681.65,5999.17,7262.11,15467.38,1.95,-14.55,-5.8,5.67,-4.59,10.59,12.08,8.96,10.46,14.55,-7.63,-4.06,20.08,19.14,8.66,15.99,10.76,-1.12,1.46,-9.28,-20.15,-13.64
74,Palawan (Excluding City of Puerto Princesa),46531.88,2606.68,3156.81,3286.8,3518.69,3753.1,4073.14,4471.01,5162.36,5787.66,10715.63,55649.38,2677.85,3257.37,3617.33,3730.7,4180.8,4457.98,4796.9,5408.29,6062.96,17459.2,60934.49,2785.83,3441.07,3764.22,3975.54,4018.95,4224.82,5711.3,5884.27,7633.99,19494.5,19.59,2.73,3.19,10.06,6.03,11.4,9.45,7.29,4.76,4.76,62.93,9.5,4.03,5.64,4.06,6.56,-3.87,-5.23,19.06,8.8,25.91,11.66
75,City of Puerto Princesa,24127.15,1083.5,1348.35,1411.83,1581.68,1905.09,2031.41,2426.09,2956.2,3235.32,6147.67,24099.61,1041.91,1243,1405.43,1598.15,1760.56,1787.63,2129.83,2849.55,3706.53,6577.01,28838.32,1383.33,1616.29,1845.47,2001.27,2128.76,2429.28,2595.03,3284.68,4247.22,7307.01,-0.11,-3.84,-7.81,-0.45,1.04,-7.59,-12,-12.21,-3.61,14.56,6.98,19.66,32.77,30.03,31.31,25.22,20.91,35.89,21.84,15.27,14.59,11.1
76,Romblon,16161.67,759.53,862.84,912.12,941.7,993.73,1073.69,1226.2,1280.36,1844.49,6267,15769.27,760.8,863.82,954.35,1009.11,1029.53,1208.3,1200.34,1419.55,2130.65,5192.82,18705.1,1062.99,1182.42,1228.43,1170.53,1291.27,1298.11,1381.93,1698.78,2425.79,5964.86,-2.43,0.17,0.11,4.63,7.16,3.6,12.54,-2.11,10.87,15.51,-17.14,18.62,39.72,36.88,28.72,16,25.42,7.43,15.13,19.67,13.85,14.87
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,REGION V - BICOL REGION,300778,14024.51,17127.95,18200.12,19532.08,21659.59,23875.5,26087.22,30017.84,42474.87,87778.32,337218.04,15067.39,18571.89,21221.44,21718.12,23919.28,26158.77,28810.5,34927.32,48117.12,98706.21,394959.39,19534.18,22657.18,24717.79,27198.52,28004.8,30604.25,33484.69,39621.97,53726.09,115409.91,12.12,7.44,8.43,16.6,11.19,10.43,9.56,10.44,16.36,13.28,12.45,17.12,29.65,22,16.48,25.23,17.08,16.99,16.22,13.44,11.66,16.92
79,Albay,74077.26,3545.11,3975.4,4208.32,4973.94,5542.31,5723.4,6127.21,7748.6,11527.5,20705.47,88994.16,3655.57,4398.69,5355.14,5773.14,6043.8,7143.79,7547.84,9237.68,13883.77,25954.73,90854.58,4695.71,5731.11,6181.01,6219.26,7071.64,7232.62,8083.39,9629.04,12976.74,23034.05,20.14,3.12,10.65,27.25,16.07,9.05,24.82,23.19,19.22,20.44,25.35,2.09,28.45,30.29,15.42,7.73,17.01,1.24,7.1,4.24,-6.53,-11.25
80,Camarines Norte,29098,1485.9,1763.19,1985.51,1991.57,2168.44,2292.15,2591.59,2997.47,4145.37,7676.8,39512.56,1696.38,2185.84,2388.75,2471.63,2981.99,3007.9,3535.69,3883.88,5517.71,11842.79,43502.69,2325.98,2736.75,3017.25,3034.99,3258.95,3397.66,3888.86,3962.85,5347.36,12532.05,35.79,14.17,23.97,20.31,24.1,37.52,31.23,36.43,29.57,33.11,54.27,10.1,37.11,25.2,26.31,22.79,9.29,12.96,9.99,2.03,-3.09,5.82
81,Camarines Sur,105284.33,4648.54,6015.82,6125.71,6854.3,7323.97,8328.9,9560.86,10432.8,14366.95,31626.48,105951.9,4777.79,5771.25,6691.38,7099.5,7409.46,8613.83,9032.67,11639.53,15147.77,29768.71,145585.47,6092.01,7331.68,8224.6,9324.31,9503.83,11101.21,11916.27,15260.58,23423.04,43407.93,0.63,2.78,-4.07,9.23,3.58,1.17,3.42,-5.52,11.57,5.43,-5.87,37.41,27.51,27.04,22.91,31.34,28.27,28.88,31.92,31.11,54.63,45.82
82,Catanduanes,14302.16,687.97,796.71,942.96,948.3,1084.23,1213.03,1197.87,1494.87,2097.57,3838.65,17247.96,760.24,943.13,990.09,1066.72,1170.15,1311.62,1444.56,1773.73,2553.62,5234.1,17194.94,782.17,882.69,1014.33,1093.29,1150.52,1238.37,1363.97,1768.24,2468.26,5433.1,20.6,10.5,18.38,5,12.49,7.92,8.13,20.59,18.65,21.74,36.35,-0.31,2.88,-6.41,2.45,2.49,-1.68,-5.58,-5.58,-0.31,-3.34,3.8
83,Masbate,37263.97,1929.56,2195.87,2411.12,2461.66,2755.7,2733.41,3038.58,3482,4970.53,11285.53,43587.47,2251.77,2609.04,2891.32,2993.11,3154.52,3360.93,3669.26,3695.36,5503.62,13458.54,52754.29,3041.94,3363.54,3418.88,3928.53,4144.12,4683.39,4413.19,4970.94,6190.75,14599,16.97,16.7,18.82,19.92,21.59,14.47,22.96,20.76,6.13,10.73,19.25,21.03,35.09,28.92,18.25,31.25,31.37,39.35,20.27,34.52,12.48,8.47
84,Sorsogon,40752.28,2058.37,2498.62,2683.78,2880.68,3130.41,3262.08,3234.11,4106.79,5252.87,11644.56,41923.99,2185.6,2693.86,2834.91,3010.98,3095.48,3409.42,3600.09,3912.2,5353.05,11828.39,45067.41,2684.63,2923.8,3093.17,3175.55,3464.25,3549.5,3661.62,4185.94,5705.35,12623.6,2.88,6.18,7.81,5.63,4.52,-1.12,4.52,11.32,-4.74,1.91,1.58,7.5,22.83,8.54,9.11,5.47,11.91,4.11,1.71,7,6.58,6.72
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,REGION VI - WESTERN VISAYAS,308013.53,13816.31,16046.06,17861.94,18959.54,20941.59,22246.93,26086.46,33154.74,45240.64,93659.31,339848.92,13536.22,17075.64,18648.45,20091.68,22002.47,25943.48,28840.66,35762.86,51651.82,106295.64,387743.11,18127.64,20974.4,24180.95,26980.84,29260.73,31051.22,35641.14,40625.57,56346.76,104553.86,10.34,-2.03,6.42,4.4,5.97,5.07,16.62,10.56,7.87,14.17,13.49,14.09,33.92,22.83,29.67,34.29,32.99,19.69,23.58,13.6,9.09,-1.64
87,Aklan,39037.74,1807.77,2169.57,2458.08,2626.46,2684.68,2835.68,3216.8,3959.54,5272.25,12006.91,43355.14,1827.73,2135.82,2469.14,2661.74,2921.08,3091.04,3450.76,4183.11,6232.78,14381.94,52940.29,2822.02,3168.8,3550.99,3977.28,4176.18,4312.31,4606.31,5410.07,7834.68,13081.65,11.06,1.1,-1.56,0.45,1.34,8.81,9.01,7.27,5.65,18.22,19.78,22.11,54.4,48.36,43.81,49.42,42.97,39.51,33.49,29.33,25.7,-9.04
88,Antique,33637.29,1669.34,1905.69,1982.71,2289.99,2424.09,2613.32,2798.87,3961.16,4318.77,9673.35,38872.05,1404.29,1825.85,2076.21,2311.6,2835.17,2971.82,3244.4,4323.71,5810.52,12068.48,46334.86,2052.07,2482.52,2785.94,2988.64,3437.03,3388.03,4338.42,4393.93,7134.81,13333.49,15.56,-15.88,-4.19,4.72,0.94,16.96,13.72,15.92,9.15,34.54,24.76,19.2,46.13,35.97,34.18,29.29,21.23,14.01,33.72,1.62,22.79,10.48
89,Capiz,44951.8,2651.39,2882.34,3125.13,3307.13,3518.51,3655.66,4017.89,4336.97,5501.76,11955.02,51242.18,3057.58,3648.9,3529.6,3906.5,3992.22,4252.9,4646.84,5014.73,6194.56,12998.35,58160.17,3137.28,3744.59,4254.27,4759.71,4503.67,5150.22,5226.59,6316.73,7358.11,13709,13.99,15.32,26.6,12.94,18.12,13.46,16.34,15.65,15.63,12.59,8.73,13.5,2.61,2.62,20.53,21.84,12.81,21.1,12.48,25.96,18.78,5.47
90,Iloilo (Excluding City of Iloilo),134495.07,5895.71,6770.88,7124.43,8132.89,8495.48,9531.34,11367.09,14801.35,21423.98,40951.91,150225.52,5716.81,7312.75,7655.97,7740,8778.11,11245.46,12918.66,16941.14,25416.23,46500.39,168660.15,7766.69,8808.02,9971.79,11182.56,12488.69,13690.74,15025.71,17735.13,24106.35,47884.47,11.7,-3.03,8,7.46,-4.83,3.33,17.98,13.65,14.46,18.63,13.55,12.27,35.86,20.45,30.25,44.48,42.27,21.74,16.31,4.69,-5.15,2.98
91,City of Iloilo,44496.21,1903.43,2114.28,2538.44,2736.65,2962.8,3688.06,3991.55,4727.84,6419.5,13413.65,44791.84,1699.84,2105.6,2682.14,2781.05,3062.63,3295.54,4143.92,4934.66,5883.19,14203.25,48221.07,2222.99,2624.34,3138.1,3759.56,3965.44,3765.15,4777.84,5099.52,6946.12,11922.01,0.66,-10.7,-0.41,5.66,1.62,3.37,-10.64,3.82,4.37,-8.35,5.89,7.66,30.78,24.64,17,35.18,29.48,14.25,15.3,3.34,18.07,-16.06
92,Guimaras,11395.42,573.54,755.54,730.83,796.32,856.35,896.22,931.43,1067.26,1365.82,3422.11,11362.19,596.38,747.77,727.75,792.3,823.33,795.26,1059.17,1136.8,1340.16,3343.26,13426.57,887.04,985.36,1028.39,1086.87,1045.64,1082.94,1240.1,1267.97,1878.86,2923.41,-0.29,3.98,-1.03,-0.42,-0.5,-3.86,-11.27,13.71,6.52,-1.88,-2.3,18.17,48.74,31.77,41.31,37.18,27,36.17,17.08,11.54,40.2,-12.56
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,NEGROS ISLAND REGION,271549.16,10737.01,13188.11,15551.35,16673.63,18460.52,20429.98,24421.83,29198.45,39429.71,83458.56,272073.12,11276.16,14590.21,16766.81,17990.21,19518,22072.03,24805.46,27346.8,42169.88,75537.57,314461.45,13188.15,16173.89,19531.51,21383.94,23182.55,26083.16,30395.5,35622.07,45193.46,83707.22,0.19,5.02,10.63,7.82,7.9,5.73,8.04,1.57,-6.34,6.95,-9.49,15.58,16.96,10.85,16.49,18.86,18.78,18.17,22.54,30.26,7.17,10.82
95,Negros Occidental (Excluding City of Bacolod),128424.68,5884.7,7243.85,8226.91,9036.68,9505.08,10573.33,12018.67,13575.52,17653.64,34706.31,130457.84,6677.58,8332.31,9264.97,9745.67,10147.35,11594.3,12082.07,13542.04,16041.29,33030.25,159884,8220.28,9444.21,11233.12,12195.42,12262.26,13293.2,15598.14,18074.33,19030.81,40532.24,1.58,13.47,15.03,12.62,7.85,6.76,9.66,0.53,-0.25,-9.13,-4.83,22.56,23.1,13.34,21.24,25.14,20.84,14.65,29.1,33.47,18.64,22.71
96,City of Bacolod,50096.26,2138.8,2541.52,2928.96,3493.02,3735.94,4083.22,4316.01,5816.69,7189.82,13852.27,50466.85,2357.88,2837.76,3380.52,3789.73,4044.75,4342.04,4925.87,5593.22,7476.68,11718.39,53993.48,2789.94,3579.74,3946.64,4123.41,4880.27,5058.79,5351.05,6656.25,7417.82,10189.57,0.74,10.24,11.66,15.42,8.49,8.27,6.34,14.13,-3.84,3.99,-15.4,6.99,18.32,26.15,16.75,8.8,20.66,16.51,8.63,19.01,-0.79,-13.05
97,Negros Oriental,85891.23,2915.12,3832.43,4293.19,4721.96,5285.69,5542.01,7023.01,9185.05,13175.97,29916.81,83154.45,2931.94,3560.31,4269.61,4944.54,5367.79,6256.54,6891.79,8271.67,12868.05,27792.2,91615.23,3128.59,3941.65,4475.4,5242.66,5853.05,6938.09,8059.1,10863.66,13585.14,29527.88,-3.19,0.58,-7.1,-0.55,4.71,1.55,12.89,-1.87,-9.94,-2.34,-7.1,10.17,6.71,10.71,4.82,6.03,9.04,10.89,16.94,31.34,5.57,6.25
98,Siquijor,7136.99,295.6,337.89,429.89,426.14,485.13,565.3,674.13,676.41,1057.02,2189.47,7993.97,369.87,403.72,417.18,431.86,568.5,625.57,660.84,807.18,1216.02,2493.23,8968.74,428.95,445.81,506.96,557,562.57,733.98,788.34,940.58,1094.49,2910.08,12.01,25.13,19.48,-2.96,1.34,17.19,10.66,-1.97,19.33,15.04,13.87,12.19,15.97,10.42,21.52,28.98,-1.04,17.33,19.29,16.53,-9.99,16.72
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,REGION VII - CENTRAL VISAYAS,473544.02,17947.97,22854.84,26231.86,30194.38,34215.35,38950.34,45201.08,53244.03,67774.26,136929.91,469990.58,16510.6,21841.63,25224.94,30877.72,34441.05,37884.86,44235.05,53563.64,69649.7,135761.38,549456.44,24813.52,32032.44,34609.09,40130.04,45389.87,48961.53,54611.39,64962.98,75310.01,128635.57,-0.75,-8.01,-4.43,-3.84,2.26,0.66,-2.74,-2.14,0.6,2.77,-0.85,16.91,50.29,46.66,37.2,29.96,31.79,29.24,23.46,21.28,8.13,-5.25
101,Bohol,90017.79,3766.01,4456.08,5001.74,5148.7,5901.03,7017.1,8036.15,9427.52,13525.7,27737.77,79760.94,2937.46,3940.48,4885.46,4821.98,5689.37,6519.06,6731.84,8426.44,12496.88,23311.98,97234.83,4090,5035.64,6230.88,6692.9,7058.79,7850.11,9206.78,10410.39,13296.8,27362.54,-11.39,-22,-11.57,-2.32,-6.35,-3.59,-7.1,-16.23,-10.62,-7.61,-15.96,21.91,39.24,27.79,27.54,38.8,24.07,20.42,36.76,23.54,6.4,17.38
102,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),201406.68,8269.54,10324.95,11981.44,13373.28,16151.01,16858.91,20319.78,21435.97,28379.69,54312.11,212854.87,7671.56,9858.92,11675.78,12751.39,15770.4,16646.05,18297.46,23709.49,30958.01,65515.8,249098.22,12444.66,15422.42,16289.71,18530.6,20209.9,23058.15,23889.8,27903.89,32444.03,58905.06,5.68,-7.23,-4.51,-2.55,-4.65,-2.36,-1.26,-9.95,10.61,9.09,20.63,17.03,62.22,56.43,39.52,45.32,28.15,38.52,30.56,17.69,4.8,-10.09
103,City of Cebu,102182.2,3525.12,4597.17,5233.1,5918.06,7241.65,8137.84,9662.29,10773.79,13372.86,33720.32,84729.07,3869.68,4800.59,5968.01,6091.01,6724.71,7768.03,8429.98,9997.69,11231.04,19848.33,94112.17,5092.06,6096.21,7198.43,7572.23,8169.9,8819.45,9753.8,11227.43,12124.16,18058.49,-17.08,9.77,4.42,14.04,2.92,-7.14,-4.54,-12.75,-7.2,-16.02,-41.14,11.07,31.59,26.99,20.62,24.32,21.49,13.54,15.7,12.3,7.95,-9.02
104,City of Lapu-Lapu (Opon),42960.1,1703.09,2251.38,2486.04,3098.94,3345.45,3774.87,4144.71,4931.52,6689.99,10534.12,51923.31,1967.13,2661.73,3106.3,3445.03,3901.54,4138.29,4964.67,5192.53,7805.88,14740.22,56439.7,2628.17,3386.8,4069.03,4346.43,4967.32,5224.11,6024.32,6107.64,7708.37,11977.51,20.86,15.5,18.23,24.95,11.17,16.62,9.63,19.78,5.29,16.68,39.93,8.7,33.6,27.24,30.99,26.17,27.32,26.24,21.34,17.62,-1.25,-18.74
105,City of Mandaue ,36977.24,1793.44,2197.03,2449.44,2919.32,3307.92,3461.39,3640.59,4262.58,4407.77,8537.76,40722.38,1907.2,2337.92,2789.81,2710.04,3147.27,3711.34,4062.28,4325.71,5050.22,10680.6,52571.52,2525,3448.68,3732.5,4537,4715.74,4858.68,5482.94,6132.39,6385.53,10753.05,10.13,6.34,6.41,13.9,-7.17,-4.86,7.22,11.58,1.48,14.58,25.1,29.1,32.39,47.51,33.79,67.41,49.84,30.91,34.97,41.77,26.44,0.68
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,REGION VIII - EASTERN VISAYAS,239889.02,10200.67,12400.33,13613.9,13924.5,15952.96,17891.1,19195.26,24117.97,34986.48,77605.84,275375.47,11411.64,13998.55,15513.34,16855.56,18193.64,20321.04,23033.68,28324.68,40231.17,87492.16,316881.63,15196.68,18095.5,20014.74,21421.2,23317.4,25100.22,27301.11,31691.29,45653.03,89090.46,14.79,11.87,12.89,13.95,21.05,14.05,13.58,20,17.44,14.99,12.74,15.07,33.17,29.27,29.02,27.09,28.16,23.52,18.53,11.89,13.48,1.83
108,Eastern Samar,23139.37,1082.48,1274.36,1372.39,1516.29,1731.2,1707.32,1812.82,2379.32,3192.93,7070.26,30737,1302.4,1453.25,1607.26,1747.83,1981.56,2126.21,2531.49,3162.61,4975.29,9849.1,34088.99,1728.22,1993.3,2246.92,2341.88,2319.22,2653.27,2840.02,3408.78,4733.35,9824.02,32.83,20.32,14.04,17.11,15.27,14.46,24.53,39.64,32.92,55.82,39.3,10.91,32.7,37.16,39.8,33.99,17.04,24.79,12.19,7.78,-4.86,-0.25
109,Leyte (Excluding City of Tacloban),92994.85,3886.22,4766.04,5265.83,4956.45,6220.66,7011.69,7471.74,9014.11,13323.19,31078.92,105801.03,4467.82,5451.9,5957.65,6765.21,6455.67,8082.11,8845.43,11318.72,15367.13,33089.38,126750.23,6388.41,7514.51,8151.27,9151,9446.66,9990.75,11088.38,12342.04,18152.39,34524.81,13.77,14.97,14.39,13.14,36.49,3.78,15.27,18.39,25.57,15.34,6.47,19.8,42.99,37.83,36.82,35.27,46.33,23.62,25.36,9.04,18.12,4.34
110,City of Tacloban,21061.34,780.29,906.96,1092.9,1151.54,1293.88,1471.31,2035.42,2665.88,3580.45,6082.71,22929.77,778.24,961.88,1017.06,1154.09,1226.08,1643.31,1902.08,2746.8,3640.55,7859.7,24065.31,1016.2,1235.94,1380.71,1457.11,1592.23,1903.67,2154.7,2946.45,3789.41,6588.89,8.87,-0.26,6.06,-6.94,0.22,-5.24,11.69,-6.55,3.04,1.68,29.21,4.95,30.58,28.49,35.75,26.26,29.86,15.84,13.28,7.27,4.09,-16.17
111,Northern Samar,33767.33,1472.2,1651.63,1883.47,2059.93,2085.38,2460.5,2727.03,3191.93,4788.87,11446.39,36725.44,1742.16,2027.52,2334.5,2480.31,2716.53,2922.46,3070.3,3462.8,5099.95,10868.92,42910.81,2032.26,2475.72,2757.18,3183.98,3334.28,3663.64,3931.51,4595.9,5909.83,11026.51,8.76,18.34,22.76,23.95,20.41,30.27,18.78,12.59,8.49,6.5,-5.04,16.84,16.65,22.11,18.11,28.37,22.74,25.36,28.05,32.72,15.88,1.45
112,Samar (Western Samar),36957.47,1768.24,2212.39,2402.67,2374.34,2479.23,2809.42,3443.09,3446.21,5386.64,10635.25,42696.33,1780.14,2244.21,2513.18,2832.03,3063.9,3222.31,3637.77,4348.14,5471.77,13582.88,45360.92,2191.24,2619.53,2855.78,3228.51,3292.88,3460.2,3729.53,4359.29,5951.91,13672.06,15.53,0.67,1.44,4.6,19.28,23.58,14.7,5.65,26.17,1.58,27.72,6.24,23.09,16.72,13.63,14,7.47,7.38,2.52,0.26,8.77,0.66
