region_province_huc_by_sources_of_income,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.59,0.7,0.3,0.11,-0.4
Net Receipt From Family Sustenance Activities,1.05,1.5,0.79,0.45,-0.71
Received As Gifts,3.03,4.46,5.2,1.43,0.74
Imputed Rent,7.87,6.46,5.96,-1.41,-0.5
Ilocos Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,38.66,38.71,46.79,0.05,8.08
Entrepreneurial Activities,18.77,18.13,16.27,-0.64,-1.86
Cash Receipts From Abroad,20.63,16.14,14.74,-4.49,-1.4
Cash Receipts From Domestic Sources,5.79,5.67,3.38,-0.12,-2.29
Rentals Received,0.48,0.32,1.1,-0.16,0.78
Interest,0.01,0.08,0.17,0.07,0.08
Pension,4.48,4.63,3.89,0.15,-0.74
Dividends,0.0,0.12,0.05,0.12,-0.08
"Other Source Of Income, Nec",0.03,0.04,0.07,0.01,0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.42,0.75,1.12,0.33,0.37
Net Receipt From Family Sustenance Activities,0.98,1.98,0.85,1.0,-1.13
Received As Gifts,3.03,4.82,2.13,1.79,-2.69
Imputed Rent,6.73,8.61,9.46,1.88,0.84
La Union,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.78,40.61,47.11,-2.17,6.5
Entrepreneurial Activities,17.9,16.28,16.52,-1.62,0.24
Cash Receipts From Abroad,16.81,16.29,12.64,-0.52,-3.65
Cash Receipts From Domestic Sources,6.56,5.46,4.02,-1.1,-1.43
Rentals Received,0.48,2.3,4.38,1.82,2.08
Interest,0.02,0.05,0.05,0.03,-0.01
Pension,3.56,5.37,3.97,1.81,-1.4
Dividends,1.09,0.01,0.03,-1.08,0.02
"Other Source Of Income, Nec",0.03,0.17,0.09,0.14,-0.08
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.32,0.45,0.57,0.13,0.12
Net Receipt From Family Sustenance Activities,1.47,1.46,1.1,-0.01,-0.36
Received As Gifts,2.71,3.89,3.01,1.18,-0.88
Imputed Rent,6.29,7.66,6.5,1.37,-1.16
Pangasinan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,46.49,46.59,49.35,0.1,2.76
Entrepreneurial Activities,17.35,17.66,14.69,0.31,-2.97
Cash Receipts From Abroad,13.98,9.89,11.94,-4.09,2.06
Cash Receipts From Domestic Sources,7.18,7.59,6.68,0.41,-0.91
Rentals Received,0.06,0.2,0.5,0.14,0.31
Interest,0.02,0.07,0.03,0.05,-0.04
Pension,3.55,4.56,4.29,1.01,-0.28
Dividends,0.1,0.11,0.03,0.01,-0.08
"Other Source Of Income, Nec",0.01,0.06,0.03,0.05,-0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.13,0.38,0.44,0.25,0.05
Net Receipt From Family Sustenance Activities,1.04,0.99,1.0,-0.05,0.01
Received As Gifts,2.59,3.04,2.69,0.45,-0.35
Imputed Rent,7.49,8.87,8.34,1.38,-0.53
Region II - Cagayan Valley,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.49,45.02,45.62,1.53,0.61
Entrepreneurial Activities,26.06,22.27,25.49,-3.79,3.22
Cash Receipts From Abroad,11.67,9.14,9.18,-2.53,0.04
Cash Receipts From Domestic Sources,4.47,4.87,4.34,0.4,-0.53
Rentals Received,0.42,1.19,0.49,0.77,-0.7
Interest,0.13,0.1,0.07,-0.03,-0.02
Pension,1.93,2.67,2.12,0.74,-0.55
Dividends,0.49,0.29,0.03,-0.2,-0.26
"Other Source Of Income, Nec",0.08,0.14,0.06,0.06,-0.08
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.22,0.86,1.0,-0.36,0.14
Net Receipt From Family Sustenance Activities,1.96,2.05,1.39,0.09,-0.67
Received As Gifts,2.01,2.43,1.79,0.42,-0.64
Imputed Rent,6.07,8.97,8.42,2.9,-0.55
Batanes,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,61.2,56.8,59.66,-4.4,2.86
Entrepreneurial Activities,17.14,14.0,14.42,-3.14,0.42
Cash Receipts From Abroad,3.09,2.29,3.37,-0.8,1.08
Cash Receipts From Domestic Sources,3.11,3.23,3.61,0.12,0.37
Rentals Received,0.48,0.72,0.82,0.24,0.09
Interest,0.14,0.49,0.07,0.35,-0.43
Pension,1.93,4.99,4.17,3.06,-0.83
Dividends,0.07,0.07,0.13,0.0,0.05
"Other Source Of Income, Nec",0.01,0.28,0.1,0.27,-0.18
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.16,0.25,0.18,0.09,-0.06
Net Receipt From Family Sustenance Activities,2.87,3.2,2.13,0.33,-1.07
Received As Gifts,2.45,4.53,2.77,2.08,-1.76
Imputed Rent,7.36,9.15,8.6,1.79,-0.55
Cagayan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,41.59,43.54,46.06,1.95,2.52
Entrepreneurial Activities,27.33,21.82,26.13,-5.51,4.31
Cash Receipts From Abroad,11.95,9.6,8.61,-2.35,-0.99
Cash Receipts From Domestic Sources,4.64,5.35,3.92,0.71,-1.42
Rentals Received,0.47,1.25,0.44,0.78,-0.81
Interest,0.05,0.08,0.12,0.03,0.04
Pension,2.15,2.99,2.74,0.84,-0.25
Dividends,0.0,0.01,0.02,0.01,0.01
"Other Source Of Income, Nec",0.02,0.08,0.01,0.06,-0.07
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.61,0.79,0.96,-0.82,0.17
Net Receipt From Family Sustenance Activities,2.13,2.15,1.75,0.02,-0.4
Received As Gifts,2.1,2.53,1.44,0.43,-1.09
Imputed Rent,5.96,9.8,7.81,3.84,-2.0
Isabela,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,44.8,45.59,44.02,0.79,-1.57
Entrepreneurial Activities,26.52,23.18,26.14,-3.34,2.96
Cash Receipts From Abroad,11.51,9.07,9.83,-2.44,0.77
Cash Receipts From Domestic Sources,4.09,4.67,4.92,0.58,0.25
Rentals Received,0.4,1.35,0.42,0.95,-0.93
Interest,0.07,0.12,0.02,0.05,-0.1
Pension,1.54,2.13,1.28,0.59,-0.85
Dividends,0.0,0.46,0.02,0.46,-0.44
"Other Source Of Income, Nec",0.03,0.14,0.08,0.11,-0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.1,0.72,0.85,-0.38,0.13
Net Receipt From Family Sustenance Activities,1.83,1.72,1.11,-0.11,-0.62
Received As Gifts,1.5,1.75,1.79,0.25,0.04
Imputed Rent,6.6,9.11,9.53,2.51,0.42
Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,44.46,46.02,46.72,1.56,0.7
Entrepreneurial Activities,22.77,21.31,24.36,-1.46,3.05
Cash Receipts From Abroad,12.13,9.35,9.15,-2.78,-0.2
Cash Receipts From Domestic Sources,5.1,3.65,3.82,-1.45,0.17
Rentals Received,0.38,0.65,0.82,0.27,0.17
Interest,0.02,0.03,0.1,0.01,0.07
Pension,2.6,3.04,2.77,0.44,-0.27
Dividends,1.27,0.52,0.07,-0.75,-0.44
"Other Source Of Income, Nec",0.34,0.21,0.1,-0.13,-0.12
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.98,1.2,1.19,0.22,-0.01
Net Receipt From Family Sustenance Activities,1.72,2.46,1.21,0.74,-1.24
Received As Gifts,2.86,4.01,2.52,1.15,-1.49
Imputed Rent,5.37,7.55,7.17,2.18,-0.38
Quirino,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,40.4,44.65,51.12,4.25,6.47
Entrepreneurial Activities,25.44,21.22,20.61,-4.22,-0.61
Cash Receipts From Abroad,11.1,7.72,8.51,-3.38,0.79
Cash Receipts From Domestic Sources,4.54,6.89,3.77,2.35,-3.12
Rentals Received,0.37,0.81,0.43,0.44,-0.39
Interest,1.35,0.07,0.11,-1.28,0.03
Pension,1.39,3.97,3.01,2.58,-0.95
Dividends,5.07,0.08,0.02,-4.99,-0.06
"Other Source Of Income, Nec",0.04,0.24,0.0,0.2,-0.23
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.55,1.68,2.19,1.13,0.5
Net Receipt From Family Sustenance Activities,2.45,3.04,1.69,0.59,-1.34
Received As Gifts,2.63,3.27,2.0,0.64,-1.27
Imputed Rent,4.67,6.36,6.54,1.69,0.18
Region III - Central Luzon,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,51.52,55.12,59.34,3.6,4.23
Entrepreneurial Activities,19.5,15.83,14.81,-3.67,-1.02
Cash Receipts From Abroad,11.63,8.53,10.36,-3.1,1.83
Cash Receipts From Domestic Sources,3.72,4.73,3.03,1.01,-1.71
Rentals Received,0.43,0.47,0.29,0.04,-0.18
Interest,0.04,0.05,0.04,0.01,-0.01
Pension,2.48,2.36,1.71,-0.12,-0.65
Dividends,0.19,0.05,0.02,-0.14,-0.02
"Other Source Of Income, Nec",0.05,0.08,0.06,0.03,-0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.15,0.28,0.24,0.13,-0.04
Net Receipt From Family Sustenance Activities,0.41,0.47,0.17,0.06,-0.3
Received As Gifts,2.01,2.38,1.56,0.37,-0.82
Imputed Rent,7.87,9.66,8.38,1.79,-1.29
Aurora,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.08,45.0,47.36,1.92,2.36
Entrepreneurial Activities,30.87,24.5,24.91,-6.37,0.41
Cash Receipts From Abroad,6.62,5.89,7.14,-0.73,1.25
Cash Receipts From Domestic Sources,6.14,7.09,7.02,0.95,-0.07
Rentals Received,0.59,1.03,0.69,0.44,-0.35
Interest,0.02,0.22,0.1,0.2,-0.11
Pension,2.03,2.71,2.73,0.68,0.02
Dividends,0.32,0.12,0.09,-0.2,-0.04
"Other Source Of Income, Nec",0.01,0.18,0.05,0.17,-0.14
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.71,1.09,0.46,0.38,-0.62
Net Receipt From Family Sustenance Activities,1.45,1.64,1.11,0.19,-0.53
Received As Gifts,2.36,3.54,2.18,1.18,-1.36
Imputed Rent,5.82,6.98,6.16,1.16,-0.82
Bataan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,44.65,50.56,57.55,5.91,6.99
Entrepreneurial Activities,23.11,20.1,13.31,-3.01,-6.79
Cash Receipts From Abroad,14.24,8.79,12.03,-5.45,3.23
Cash Receipts From Domestic Sources,3.87,4.45,3.05,0.58,-1.4
Rentals Received,0.61,0.73,0.6,0.12,-0.13
Interest,0.0,0.0,0.05,0.0,0.05
Pension,2.49,2.25,2.0,-0.24,-0.25
Dividends,0.01,0.01,0.06,0.0,0.06
"Other Source Of Income, Nec",0.02,0.06,0.04,0.04,-0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.03,0.17,0.09,0.14,-0.08
Net Receipt From Family Sustenance Activities,0.65,0.64,0.28,-0.01,-0.36
Received As Gifts,2.3,3.06,2.38,0.76,-0.68
Imputed Rent,8.01,9.18,8.56,1.17,-0.61
Bulacan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,56.7,59.39,65.12,2.69,5.72
Entrepreneurial Activities,15.13,15.45,12.47,0.32,-2.98
Cash Receipts From Abroad,10.93,6.29,8.25,-4.64,1.96
Cash Receipts From Domestic Sources,3.59,4.31,3.15,0.72,-1.15
Rentals Received,0.41,0.6,0.17,0.19,-0.42
Interest,0.03,0.09,0.05,0.06,-0.04
Pension,2.7,2.79,1.44,0.09,-1.36
Dividends,0.05,0.03,0.02,-0.02,-0.02
"Other Source Of Income, Nec",0.01,0.06,0.07,0.05,0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.09,0.07,0.02,-0.02,-0.04
Net Receipt From Family Sustenance Activities,0.18,0.21,0.05,0.03,-0.16
Received As Gifts,2.31,2.49,1.84,0.18,-0.64
Imputed Rent,7.87,8.22,7.33,0.35,-0.89
Nueva Ecija,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,44.31,53.6,59.73,9.29,6.13
Entrepreneurial Activities,27.33,17.85,19.08,-9.48,1.22
Cash Receipts From Abroad,9.18,7.08,6.12,-2.1,-0.96
Cash Receipts From Domestic Sources,3.98,4.08,2.49,0.1,-1.59
Rentals Received,0.58,0.09,0.15,-0.49,0.06
Interest,0.1,0.04,0.03,-0.06,-0.02
Pension,2.83,1.47,1.65,-1.36,0.18
Dividends,0.96,0.0,0.04,-0.96,0.04
"Other Source Of Income, Nec",0.01,0.09,0.1,0.08,0.0
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.34,0.97,0.79,0.63,-0.17
Net Receipt From Family Sustenance Activities,0.73,1.04,0.24,0.31,-0.81
Received As Gifts,2.32,2.41,1.74,0.09,-0.67
Imputed Rent,7.33,11.27,7.84,3.94,-3.43
Pampanga (excluding City Of Angeles),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,54.83,53.74,58.51,-1.09,4.77
Entrepreneurial Activities,18.3,14.93,14.45,-3.37,-0.48
Cash Receipts From Abroad,13.45,10.5,13.0,-2.95,2.5
Cash Receipts From Domestic Sources,3.25,6.4,2.58,3.15,-3.82
Rentals Received,0.2,0.49,0.26,0.29,-0.23
Interest,0.04,0.02,0.02,-0.02,-0.01
Pension,1.22,1.54,0.93,0.32,-0.62
Dividends,0.0,0.15,0.0,0.15,-0.15
"Other Source Of Income, Nec",0.01,0.06,0.03,0.05,-0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.08,0.08,0.12,0.0,0.04
Net Receipt From Family Sustenance Activities,0.09,0.12,0.02,0.03,-0.1
Received As Gifts,0.91,1.51,0.95,0.6,-0.55
Imputed Rent,7.61,10.45,9.13,2.84,-1.32
City Of Angeles,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,50.46,50.46,50.46,0.0,-3.62
Entrepreneurial Activities,19.54,19.54,19.54,0.0,3.48
Cash Receipts From Abroad,9.57,9.57,9.57,0.0,2.93
Cash Receipts From Domestic Sources,4.9,4.9,4.9,0.0,0.33
Rentals Received,0.59,0.59,0.59,0.0,-0.2
Interest,0.06,0.06,0.06,0.0,-0.03
Pension,2.9,2.9,2.9,0.0,0.22
Dividends,0.37,0.37,0.37,0.0,0.01
"Other Source Of Income, Nec",0.05,0.05,0.05,0.0,-0.09
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.38,0.38,0.38,0.0,0.0
Net Receipt From Family Sustenance Activities,0.85,0.85,0.85,0.0,0.01
Received As Gifts,2.05,2.05,2.05,0.0,-0.37
Imputed Rent,8.28,8.28,8.28,0.0,-2.68
Tarlac,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,50.31,53.07,54.44,2.76,1.37
Entrepreneurial Activities,19.55,14.51,14.42,-5.04,-0.09
Cash Receipts From Abroad,11.23,10.86,13.38,-0.37,2.53
Cash Receipts From Domestic Sources,4.75,4.63,3.25,-0.12,-1.38
Rentals Received,0.24,0.28,0.47,0.04,0.19
Interest,0.03,0.02,0.02,-0.01,0.0
Pension,3.41,3.81,3.0,0.4,-0.8
Dividends,0.0,0.0,0.0,0.0,0.0
"Other Source Of Income, Nec",0.0,0.13,0.01,0.13,-0.12
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.28,0.41,0.39,0.13,-0.02
Net Receipt From Family Sustenance Activities,0.73,0.65,0.41,-0.08,-0.24
Received As Gifts,2.36,3.29,1.32,0.93,-1.97
Imputed Rent,7.12,8.33,8.87,1.21,0.55
Zambales (excluding City Of Olongapo),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,45.83,52.35,53.93,6.52,1.58
Entrepreneurial Activities,15.37,12.73,13.79,-2.64,1.06
Cash Receipts From Abroad,16.08,10.4,12.16,-5.68,1.76
Cash Receipts From Domestic Sources,4.5,4.36,3.84,-0.14,-0.53
Rentals Received,0.25,0.31,0.33,0.06,0.01
Interest,0.05,0.02,0.11,-0.03,0.09
Pension,3.48,2.96,2.28,-0.52,-0.68
Dividends,0.0,0.02,0.02,0.02,0.0
"Other Source Of Income, Nec",0.7,0.03,0.23,-0.67,0.2
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.18,0.34,0.33,0.16,-0.02
Net Receipt From Family Sustenance Activities,1.17,1.45,0.52,0.28,-0.94
Received As Gifts,3.01,3.74,2.28,0.73,-1.46
Imputed Rent,9.37,11.28,10.19,1.91,-1.09
City Of Olongapo,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,52.29,56.37,57.54,4.08,1.17
Entrepreneurial Activities,13.22,9.72,9.87,-3.5,0.15
Cash Receipts From Abroad,13.79,10.38,12.27,-3.41,1.89
Cash Receipts From Domestic Sources,2.49,3.74,2.64,1.25,-1.1
Rentals Received,1.45,1.5,1.2,0.05,-0.29
Interest,0.08,0.0,0.07,-0.08,0.07
Pension,2.34,3.03,2.26,0.69,-0.78
Dividends,0.01,0.04,0.09,0.03,0.04
"Other Source Of Income, Nec",0.08,0.02,0.04,-0.06,0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.02,0.01,0.17,-0.01,0.16
Net Receipt From Family Sustenance Activities,0.09,0.15,0.1,0.06,-0.05
Received As Gifts,2.57,2.6,2.07,0.03,-0.53
Imputed Rent,11.55,12.43,11.68,0.88,-0.76
Region IVA - Calabarzon,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,54.64,57.8,60.5,3.16,2.7
Entrepreneurial Activities,16.6,13.61,12.87,-2.99,-0.74
Cash Receipts From Abroad,11.24,8.14,9.38,-3.1,1.25
Cash Receipts From Domestic Sources,3.26,4.34,2.97,1.08,-1.37
Rentals Received,0.56,0.61,0.77,0.05,0.17
Interest,0.04,0.06,0.04,0.02,-0.03
Pension,2.77,2.64,2.48,-0.13,-0.16
Dividends,0.03,0.11,0.27,0.08,0.16
"Other Source Of Income, Nec",0.04,0.07,0.06,0.03,0.0
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.15,0.21,0.12,0.06,-0.09
Net Receipt From Family Sustenance Activities,0.21,0.26,0.16,0.05,-0.09
Received As Gifts,2.05,2.19,1.52,0.14,-0.67
Imputed Rent,8.42,9.98,8.85,1.56,-1.13
Batangas,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,51.7,55.02,53.16,3.32,-1.86
Entrepreneurial Activities,17.89,13.73,14.78,-4.16,1.06
Cash Receipts From Abroad,13.97,9.42,11.32,-4.55,1.9
Cash Receipts From Domestic Sources,3.94,4.56,4.35,0.62,-0.21
Rentals Received,0.31,0.46,1.57,0.15,1.11
Interest,0.02,0.25,0.04,0.23,-0.21
Pension,1.95,2.49,1.97,0.54,-0.53
Dividends,0.06,0.46,0.99,0.4,0.53
"Other Source Of Income, Nec",0.0,0.08,0.15,0.08,0.07
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.11,0.51,0.19,0.4,-0.32
Net Receipt From Family Sustenance Activities,0.29,0.54,0.29,0.25,-0.24
Received As Gifts,1.56,2.75,1.89,1.19,-0.87
Imputed Rent,8.21,9.72,9.29,1.51,-0.43
Cavite,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,55.56,60.22,62.16,4.66,1.94
Entrepreneurial Activities,14.27,11.11,9.26,-3.16,-1.86
Cash Receipts From Abroad,11.22,9.92,12.81,-1.3,2.89
Cash Receipts From Domestic Sources,3.05,3.58,1.96,0.53,-1.62
Rentals Received,0.67,0.7,0.74,0.03,0.04
Interest,0.05,0.03,0.06,-0.02,0.03
Pension,3.54,2.5,2.65,-1.04,0.15
Dividends,0.02,0.06,0.12,0.04,0.06
"Other Source Of Income, Nec",0.01,0.03,0.06,0.02,0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.04,0.02,0.02,-0.02,-0.01
Net Receipt From Family Sustenance Activities,0.12,0.11,0.06,-0.01,-0.06
Received As Gifts,2.39,1.87,1.33,-0.52,-0.54
Imputed Rent,9.08,9.84,8.78,0.76,-1.06
Laguna,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,53.84,59.23,62.12,5.39,2.88
Entrepreneurial Activities,18.68,13.54,13.8,-5.14,0.26
Cash Receipts From Abroad,11.52,7.19,7.45,-4.33,0.26
Cash Receipts From Domestic Sources,2.36,4.77,2.82,2.41,-1.95
Rentals Received,0.56,0.44,0.72,-0.12,0.27
Interest,0.01,0.0,0.04,-0.01,0.04
Pension,3.08,2.84,2.64,-0.24,-0.21
Dividends,0.01,0.0,0.05,-0.01,0.05
"Other Source Of Income, Nec",0.01,0.08,0.02,0.07,-0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.13,0.08,0.04,-0.05,-0.04
Net Receipt From Family Sustenance Activities,0.17,0.14,0.12,-0.03,-0.02
Received As Gifts,1.54,2.17,1.73,0.63,-0.44
Imputed Rent,8.1,9.51,8.46,1.41,-1.06
Quezon (excluding City Of Lucena),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,45.7,45.36,50.41,-0.34,5.05
Entrepreneurial Activities,24.18,20.49,20.99,-3.69,0.5
Cash Receipts From Abroad,8.88,8.17,6.28,-0.71,-1.89
Cash Receipts From Domestic Sources,6.76,7.68,6.55,0.92,-1.13
Rentals Received,0.31,0.75,0.27,0.44,-0.48
Interest,0.01,0.02,0.01,0.01,-0.01
Pension,2.4,2.52,2.07,0.12,-0.45
Dividends,0.02,0.04,0.61,0.02,0.56
"Other Source Of Income, Nec",0.32,0.22,0.14,-0.1,-0.07
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.86,1.05,1.06,0.19,0.02
Net Receipt From Family Sustenance Activities,0.85,0.91,0.78,0.06,-0.13
Received As Gifts,2.68,3.41,2.27,0.73,-1.14
Imputed Rent,7.03,9.4,8.56,2.37,-0.83
City Of Lucena,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,48.74,56.29,55.65,7.55,-0.64
Entrepreneurial Activities,19.95,15.49,16.13,-4.46,0.63
Cash Receipts From Abroad,10.88,6.97,10.04,-3.91,3.07
Cash Receipts From Domestic Sources,4.21,3.67,2.78,-0.54,-0.88
Rentals Received,0.87,0.43,0.32,-0.44,-0.11
Interest,0.04,0.06,0.01,0.02,-0.05
Pension,3.92,4.14,3.1,0.22,-1.04
Dividends,0.0,0.0,0.0,0.0,0.0
"Other Source Of Income, Nec",0.28,0.04,0.18,-0.24,0.14
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.79,0.18,0.07,-0.61,-0.11
Net Receipt From Family Sustenance Activities,0.17,0.43,0.13,0.26,-0.3
Received As Gifts,2.05,2.57,1.36,0.52,-1.21
Imputed Rent,8.1,9.73,10.23,1.63,0.5
Rizal,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,59.8,59.65,65.99,-0.15,6.34
Entrepreneurial Activities,13.61,14.52,12.37,0.91,-2.16
Cash Receipts From Abroad,9.72,5.73,6.29,-3.99,0.56
Cash Receipts From Domestic Sources,2.77,3.68,2.25,0.91,-1.43
Rentals Received,0.68,0.73,0.4,0.05,-0.33
Interest,0.07,0.03,0.0,-0.04,-0.02
Pension,2.18,2.67,2.57,0.49,-0.1
Dividends,0.04,0.0,0.03,-0.04,0.03
"Other Source Of Income, Nec",0.01,0.04,0.02,0.03,-0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.04,0.06,0.01,0.02,-0.05
Net Receipt From Family Sustenance Activities,0.11,0.1,0.06,-0.01,-0.04
Received As Gifts,2.35,1.74,1.02,-0.61,-0.72
Imputed Rent,8.61,11.05,9.0,2.44,-2.05
Mimaropa Region,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,41.1,42.61,46.78,1.51,4.18
Entrepreneurial Activities,29.91,25.17,26.03,-4.74,0.86
Cash Receipts From Abroad,6.73,5.15,5.07,-1.58,-0.08
Cash Receipts From Domestic Sources,8.1,8.14,7.13,0.04,-1.01
Rentals Received,0.42,0.71,0.45,0.29,-0.26
Interest,0.13,0.1,0.16,-0.03,0.06
Pension,1.98,2.85,2.09,0.87,-0.76
Dividends,0.01,0.58,0.07,0.57,-0.51
"Other Source Of Income, Nec",0.13,0.13,0.1,0.0,-0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.84,0.81,0.6,-0.03,-0.21
Net Receipt From Family Sustenance Activities,1.45,1.9,1.41,0.45,-0.5
Received As Gifts,2.73,3.72,2.55,0.99,-1.18
Imputed Rent,6.49,8.12,7.56,1.63,-0.56
Marinduque,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,35.95,41.24,43.63,5.29,2.39
Entrepreneurial Activities,20.87,16.73,15.24,-4.14,-1.5
Cash Receipts From Abroad,10.83,6.84,7.68,-3.99,0.84
Cash Receipts From Domestic Sources,15.19,15.18,14.04,-0.01,-1.14
Rentals Received,0.88,0.22,0.47,-0.66,0.25
Interest,0.01,0.01,0.08,0.0,0.07
Pension,3.98,4.73,4.94,0.75,0.21
Dividends,0.0,0.02,0.07,0.02,0.05
"Other Source Of Income, Nec",0.13,0.09,0.03,-0.04,-0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.62,0.69,1.01,0.07,0.32
Net Receipt From Family Sustenance Activities,1.43,1.85,1.69,0.42,-0.15
Received As Gifts,3.82,3.83,3.53,0.01,-0.3
Imputed Rent,6.28,8.57,7.59,2.29,-0.98
Occidental Mindoro,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.25,44.2,45.05,1.95,0.85
Entrepreneurial Activities,31.89,26.42,30.65,-5.47,4.23
Cash Receipts From Abroad,5.29,4.43,4.4,-0.86,-0.03
Cash Receipts From Domestic Sources,7.33,7.94,6.54,0.61,-1.39
Rentals Received,1.07,0.64,0.76,-0.43,0.12
Interest,0.21,0.2,0.13,-0.01,-0.07
Pension,1.45,1.69,1.09,0.24,-0.6
Dividends,0.0,0.04,0.05,0.04,0.02
"Other Source Of Income, Nec",0.28,0.24,0.14,-0.04,-0.1
