region_province_huc_by_expenditure_group,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Alcoholic Beverages And Tobacco,1.36,1.48,1.24,0.12,-0.24
Clothing And Footwear,3.36,1.88,2.19,-1.47,0.31
"Housing, Water, Electricity, Gas And Other Fuels",24.21,25.06,24.19,0.85,-0.87
Furnishings And Routine Household Maintenance,1.96,1.46,2.0,-0.5,0.55
Health,3.56,3.53,2.96,-0.03,-0.57
Transport,7.44,6.39,6.55,-1.05,0.16
Information And Communication,2.48,3.7,3.59,1.22,-0.1
"Recreation, Sport And Culture",0.92,0.46,0.83,-0.46,0.36
Education,5.2,2.61,5.33,-2.59,2.72
Hotels (accommodation Services),0.21,0.03,0.1,-0.18,0.08
Insurance And Financial Services,0.0,3.7,2.5,3.7,-1.19
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.17,3.79,3.08,-3.38,-0.71
Durable Furniture And Equipment,2.81,3.74,1.86,0.93,-1.88
Special Family Occasion,2.32,2.23,2.45,-0.08,0.22
Other Expenditures,2.47,2.16,1.85,-0.32,-0.31
Abra,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.97,46.57,46.03,0.61,-0.54
Food Consumed At Home,41.85,45.75,44.63,3.9,-1.12
Food Regularly Consumed Outside The Home,4.11,0.81,1.4,-3.3,0.58
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.71,1.63,1.61,-0.08,-0.02
Clothing And Footwear,3.23,1.83,1.98,-1.4,0.15
"Housing, Water, Electricity, Gas And Other Fuels",19.65,22.84,17.7,3.19,-5.14
Furnishings And Routine Household Maintenance,2.16,1.45,2.22,-0.7,0.77
Health,2.67,2.35,2.16,-0.33,-0.19
Transport,6.02,4.52,5.67,-1.5,1.15
Information And Communication,1.72,2.68,3.4,0.96,0.72
"Recreation, Sport And Culture",0.69,0.26,0.62,-0.43,0.36
Education,2.31,1.47,5.64,-0.84,4.17
Hotels (accommodation Services),0.12,0.03,0.14,-0.09,0.11
Insurance And Financial Services,0.0,2.02,1.93,2.02,-0.09
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.94,5.35,3.22,-2.58,-2.13
Durable Furniture And Equipment,2.44,3.35,3.78,0.91,0.43
Special Family Occasion,1.83,2.17,2.5,0.34,0.33
Other Expenditures,1.53,1.46,1.4,-0.07,-0.07
Benguet (excluding City Of Baguio),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,31.09,37.54,36.68,6.45,-0.87
Food Consumed At Home,27.84,35.26,34.55,7.41,-0.71
Food Regularly Consumed Outside The Home,3.25,2.28,2.13,-0.98,-0.15
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,1.15,1.35,1.21,0.2,-0.14
Clothing And Footwear,3.71,2.03,2.1,-1.69,0.07
"Housing, Water, Electricity, Gas And Other Fuels",25.44,23.05,29.75,-2.39,6.7
Furnishings And Routine Household Maintenance,1.87,1.42,1.73,-0.45,0.31
Health,4.52,4.17,3.25,-0.34,-0.93
Transport,8.72,8.02,7.14,-0.71,-0.88
Information And Communication,2.46,3.33,3.32,0.87,-0.01
"Recreation, Sport And Culture",0.96,0.63,0.86,-0.32,0.22
Education,5.7,2.72,5.1,-2.99,2.39
Hotels (accommodation Services),0.24,0.03,0.04,-0.21,0.01
Insurance And Financial Services,0.0,3.24,2.48,3.24,-0.76
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.2,3.45,2.86,-2.75,-0.59
Durable Furniture And Equipment,2.17,4.26,0.73,2.09,-3.53
Special Family Occasion,2.41,1.99,1.64,-0.42,-0.35
Other Expenditures,3.36,2.78,1.13,-0.58,-1.65
City Of Baguio,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,25.85,31.73,34.29,5.88,2.55
Food Consumed At Home,22.17,29.53,31.14,7.36,1.61
Food Regularly Consumed Outside The Home,3.68,2.2,3.13,-1.48,0.94
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.01
Alcoholic Beverages And Tobacco,0.86,1.0,0.81,0.14,-0.19
Clothing And Footwear,2.83,1.23,1.61,-1.61,0.38
"Housing, Water, Electricity, Gas And Other Fuels",31.21,35.28,29.69,4.08,-5.6
Furnishings And Routine Household Maintenance,2.05,1.27,1.85,-0.77,0.58
Health,3.6,2.97,3.19,-0.63,0.22
Transport,7.72,5.31,7.35,-2.41,2.05
Information And Communication,3.72,4.89,5.03,1.17,0.15
"Recreation, Sport And Culture",1.14,0.46,0.89,-0.68,0.43
Education,6.36,3.63,6.67,-2.73,3.04
Hotels (accommodation Services),0.13,0.04,0.02,-0.08,-0.02
Insurance And Financial Services,0.0,4.48,2.58,4.48,-1.9
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.85,3.05,3.04,-4.8,-0.01
Durable Furniture And Equipment,3.13,2.07,0.46,-1.07,-1.61
Special Family Occasion,1.63,1.26,1.27,-0.37,0.01
Other Expenditures,1.93,1.33,1.25,-0.6,-0.08
Ifugao,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,41.5,39.95,39.73,-1.55,-0.22
Food Consumed At Home,38.25,39.02,37.38,0.78,-1.65
Food Regularly Consumed Outside The Home,3.26,0.92,2.34,-2.33,1.42
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.01
Alcoholic Beverages And Tobacco,2.2,2.09,1.66,-0.12,-0.42
Clothing And Footwear,4.07,2.3,2.47,-1.77,0.17
"Housing, Water, Electricity, Gas And Other Fuels",16.98,18.07,18.96,1.09,0.89
Furnishings And Routine Household Maintenance,1.99,1.35,1.9,-0.64,0.55
Health,2.98,3.17,3.12,0.19,-0.05
Transport,7.28,7.0,6.37,-0.27,-0.63
Information And Communication,1.52,3.42,3.21,1.9,-0.21
"Recreation, Sport And Culture",0.69,0.43,0.73,-0.25,0.3
Education,3.47,1.87,5.84,-1.6,3.97
Hotels (accommodation Services),0.3,0.0,0.27,-0.3,0.26
Insurance And Financial Services,0.0,2.74,2.81,2.74,0.07
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.59,3.36,2.84,-4.23,-0.53
Durable Furniture And Equipment,3.51,7.59,1.72,4.08,-5.86
Special Family Occasion,3.26,4.69,4.75,1.43,0.06
Other Expenditures,2.66,1.96,3.63,-0.69,1.66
Kalinga,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.22,41.14,44.44,-6.08,3.3
Food Consumed At Home,41.56,38.95,41.43,-2.61,2.48
Food Regularly Consumed Outside The Home,5.66,2.19,3.01,-3.47,0.82
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.13,2.0,1.54,-0.13,-0.46
Clothing And Footwear,2.77,2.37,2.93,-0.4,0.56
"Housing, Water, Electricity, Gas And Other Fuels",17.99,19.57,18.57,1.58,-1.01
Furnishings And Routine Household Maintenance,1.6,1.87,2.52,0.27,0.65
Health,3.01,3.43,3.48,0.42,0.05
Transport,6.91,7.25,6.13,0.34,-1.12
Information And Communication,1.21,3.31,2.84,2.1,-0.47
"Recreation, Sport And Culture",0.6,0.24,0.76,-0.35,0.52
Education,2.96,2.25,4.42,-0.71,2.18
Hotels (accommodation Services),0.25,0.01,0.05,-0.24,0.04
Insurance And Financial Services,0.0,3.72,1.87,3.72,-1.84
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.33,5.12,3.57,-1.21,-1.55
Durable Furniture And Equipment,3.34,3.88,1.88,0.54,-2.0
Special Family Occasion,2.34,2.39,3.32,0.04,0.94
Other Expenditures,1.34,1.45,1.67,0.11,0.22
Mountain Province,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,42.26,40.69,42.7,-1.57,2.01
Food Consumed At Home,40.33,39.38,40.57,-0.95,1.19
Food Regularly Consumed Outside The Home,1.93,1.3,2.11,-0.62,0.81
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.02,0.0,0.01
Alcoholic Beverages And Tobacco,1.75,1.26,1.02,-0.5,-0.24
Clothing And Footwear,4.22,2.19,2.94,-2.03,0.76
"Housing, Water, Electricity, Gas And Other Fuels",14.77,17.13,14.95,2.36,-2.18
Furnishings And Routine Household Maintenance,1.99,1.32,2.18,-0.66,0.86
Health,2.91,2.82,2.12,-0.09,-0.7
Transport,3.84,4.79,4.93,0.95,0.15
Information And Communication,1.46,3.28,2.32,1.82,-0.96
"Recreation, Sport And Culture",0.96,0.45,0.99,-0.51,0.54
Education,4.42,2.0,3.77,-2.41,1.76
Hotels (accommodation Services),0.5,0.01,0.16,-0.49,0.15
Insurance And Financial Services,0.0,6.28,4.25,6.28,-2.03
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.59,3.53,3.11,-4.06,-0.42
Durable Furniture And Equipment,2.64,4.93,5.52,2.3,0.59
Special Family Occasion,4.99,3.65,4.45,-1.34,0.79
Other Expenditures,5.72,5.66,4.59,-0.05,-1.07
Apayao,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,41.72,41.86,45.73,0.14,3.88
Food Consumed At Home,40.81,41.27,39.89,0.46,-1.37
Food Regularly Consumed Outside The Home,0.91,0.56,5.68,-0.35,5.12
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.03,0.16,0.03,0.13
Alcoholic Beverages And Tobacco,1.71,2.69,1.69,0.98,-1.0
Clothing And Footwear,4.16,2.73,2.88,-1.43,0.15
"Housing, Water, Electricity, Gas And Other Fuels",15.88,16.71,15.82,0.83,-0.89
Furnishings And Routine Household Maintenance,2.24,2.15,2.48,-0.09,0.33
Health,2.53,7.49,2.04,4.96,-5.45
Transport,7.0,6.08,5.06,-0.92,-1.02
Information And Communication,1.28,2.73,2.32,1.45,-0.41
"Recreation, Sport And Culture",0.73,0.48,0.85,-0.25,0.38
Education,9.4,1.27,2.78,-8.13,1.51
Hotels (accommodation Services),0.15,0.01,0.53,-0.14,0.52
Insurance And Financial Services,0.0,3.3,1.96,3.3,-1.33
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.24,5.09,3.44,-2.14,-1.66
Durable Furniture And Equipment,2.78,2.36,5.2,-0.41,2.84
Special Family Occasion,2.33,2.71,4.08,0.39,1.36
Other Expenditures,0.86,2.33,3.12,1.47,0.79
Region I - Ilocos Region,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.64,42.59,43.14,-4.05,0.55
Food Consumed At Home,34.82,39.06,36.79,4.24,-2.27
Food Regularly Consumed Outside The Home,11.82,3.52,6.34,-8.3,2.82
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.75,1.72,1.49,-0.04,-0.23
Clothing And Footwear,2.18,1.56,1.75,-0.62,0.19
"Housing, Water, Electricity, Gas And Other Fuels",18.43,21.82,21.1,3.4,-0.73
Furnishings And Routine Household Maintenance,2.5,2.22,2.52,-0.29,0.3
Health,2.79,4.29,3.12,1.5,-1.17
Transport,6.08,5.25,6.77,-0.83,1.51
Information And Communication,1.94,3.35,3.53,1.41,0.18
"Recreation, Sport And Culture",0.69,0.48,0.76,-0.21,0.28
Education,2.1,1.77,3.56,-0.33,1.79
Hotels (accommodation Services),0.54,0.08,0.34,-0.45,0.25
Insurance And Financial Services,0.0,2.91,2.3,2.91,-0.6
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.99,5.13,4.01,-1.86,-1.12
Durable Furniture And Equipment,2.99,3.15,1.99,0.16,-1.15
Special Family Occasion,2.58,2.3,2.09,-0.28,-0.22
Other Expenditures,1.79,1.39,1.55,-0.41,0.17
Ilocos Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.67,46.04,46.9,1.37,0.86
Food Consumed At Home,33.81,42.0,41.39,8.19,-0.61
Food Regularly Consumed Outside The Home,10.86,4.04,5.51,-6.82,1.47
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.0
Alcoholic Beverages And Tobacco,1.62,1.31,1.08,-0.31,-0.22
Clothing And Footwear,2.25,1.68,1.98,-0.57,0.3
"Housing, Water, Electricity, Gas And Other Fuels",19.19,19.27,17.03,0.08,-2.24
Furnishings And Routine Household Maintenance,2.26,2.05,2.33,-0.21,0.28
Health,3.09,3.22,2.41,0.12,-0.81
Transport,6.28,5.73,7.61,-0.55,1.89
Information And Communication,2.18,3.79,3.91,1.6,0.13
"Recreation, Sport And Culture",0.74,0.33,0.47,-0.42,0.14
Education,1.67,1.04,1.68,-0.63,0.64
Hotels (accommodation Services),0.24,0.02,0.12,-0.23,0.1
Insurance And Financial Services,0.0,3.3,2.48,3.3,-0.83
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.92,4.82,3.7,-2.1,-1.12
Durable Furniture And Equipment,4.17,4.44,4.83,0.27,0.39
Special Family Occasion,3.56,1.96,2.51,-1.6,0.55
Other Expenditures,1.15,1.02,0.96,-0.13,-0.05
Ilocos Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.52,40.4,37.35,-4.12,-3.05
Food Consumed At Home,35.71,39.24,35.1,3.53,-4.15
Food Regularly Consumed Outside The Home,8.82,1.13,2.25,-7.68,1.12
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.03,0.0,0.03,-0.02
Alcoholic Beverages And Tobacco,1.85,2.29,1.94,0.44,-0.35
Clothing And Footwear,2.11,2.0,1.6,-0.12,-0.4
"Housing, Water, Electricity, Gas And Other Fuels",19.9,23.02,24.86,3.11,1.84
Furnishings And Routine Household Maintenance,2.48,2.0,2.43,-0.47,0.42
Health,3.34,4.38,3.93,1.04,-0.44
Transport,6.39,4.69,6.38,-1.7,1.7
Information And Communication,2.33,3.6,3.92,1.27,0.32
"Recreation, Sport And Culture",0.53,0.31,0.75,-0.22,0.44
Education,1.58,1.25,5.87,-0.33,4.62
Hotels (accommodation Services),0.11,0.02,0.05,-0.1,0.04
Insurance And Financial Services,0.0,2.37,2.2,2.37,-0.17
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.09,5.02,3.63,-1.07,-1.39
Durable Furniture And Equipment,3.87,4.78,1.61,0.91,-3.17
Special Family Occasion,3.77,2.74,2.2,-1.03,-0.54
Other Expenditures,1.12,1.14,1.28,0.02,0.14
La Union,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.2,41.23,42.13,-3.97,0.9
Food Consumed At Home,33.3,38.52,37.66,5.21,-0.86
Food Regularly Consumed Outside The Home,11.9,2.71,4.46,-9.19,1.75
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.02,0.01,0.01
Alcoholic Beverages And Tobacco,1.65,1.52,1.64,-0.13,0.12
Clothing And Footwear,2.88,1.49,2.18,-1.39,0.7
"Housing, Water, Electricity, Gas And Other Fuels",17.38,20.88,19.11,3.5,-1.77
Furnishings And Routine Household Maintenance,2.47,2.38,2.57,-0.09,0.19
Health,3.22,4.59,3.02,1.37,-1.56
Transport,6.63,5.42,6.48,-1.22,1.06
Information And Communication,2.11,3.62,3.47,1.51,-0.15
"Recreation, Sport And Culture",0.79,0.65,0.93,-0.14,0.28
Education,2.27,1.91,5.61,-0.35,3.7
Hotels (accommodation Services),0.62,0.06,0.2,-0.56,0.14
Insurance And Financial Services,0.0,3.23,3.0,3.23,-0.23
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.39,5.43,3.9,-1.96,-1.53
Durable Furniture And Equipment,2.93,3.13,1.8,0.2,-1.33
Special Family Occasion,2.8,2.44,2.47,-0.36,0.03
Other Expenditures,1.66,2.03,1.48,0.37,-0.55
Pangasinan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.94,42.69,43.82,-5.24,1.13
Food Consumed At Home,35.31,38.49,35.6,3.18,-2.89
Food Regularly Consumed Outside The Home,12.63,4.2,8.22,-8.43,4.02
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.8,1.74,1.44,-0.06,-0.3
Clothing And Footwear,1.97,1.45,1.58,-0.53,0.13
"Housing, Water, Electricity, Gas And Other Fuels",18.25,22.44,22.0,4.18,-0.44
Furnishings And Routine Household Maintenance,2.57,2.26,2.58,-0.32,0.32
Health,2.48,4.44,3.16,1.95,-1.28
Transport,5.82,5.22,6.71,-0.6,1.49
Information And Communication,1.76,3.11,3.33,1.35,0.23
"Recreation, Sport And Culture",0.69,0.5,0.79,-0.18,0.28
Education,2.26,2.02,2.85,-0.24,0.83
Hotels (accommodation Services),0.67,0.12,0.51,-0.54,0.39
Insurance And Financial Services,0.0,2.84,2.05,2.84,-0.79
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.08,5.13,4.23,-1.94,-0.91
Durable Furniture And Equipment,2.55,2.46,1.33,-0.09,-1.13
Special Family Occasion,2.05,2.24,1.81,0.19,-0.43
Other Expenditures,2.12,1.34,1.82,-0.78,0.48
Region II - Cagayan Valley,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.8,42.87,42.14,-3.93,-0.73
Food Consumed At Home,39.48,41.65,37.11,2.17,-4.54
Food Regularly Consumed Outside The Home,7.32,1.21,5.02,-6.11,3.81
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,2.31,2.42,1.91,0.1,-0.51
Clothing And Footwear,2.59,1.74,1.94,-0.84,0.2
"Housing, Water, Electricity, Gas And Other Fuels",17.99,22.19,21.46,4.2,-0.74
Furnishings And Routine Household Maintenance,2.17,2.11,2.57,-0.05,0.45
Health,2.31,3.61,2.88,1.3,-0.73
Transport,6.22,5.97,6.66,-0.25,0.69
Information And Communication,1.75,3.53,3.48,1.78,-0.04
"Recreation, Sport And Culture",0.68,0.4,0.76,-0.28,0.36
Education,2.27,1.42,4.14,-0.85,2.72
Hotels (accommodation Services),0.24,0.04,0.18,-0.21,0.14
Insurance And Financial Services,0.0,2.77,2.08,2.77,-0.69
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.83,4.98,3.61,-1.85,-1.37
Durable Furniture And Equipment,3.09,2.88,2.38,-0.21,-0.51
Special Family Occasion,2.75,1.83,2.38,-0.92,0.56
Other Expenditures,2.0,1.25,1.45,-0.75,0.19
Batanes,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,32.59,29.79,34.1,-2.8,4.31
Food Consumed At Home,31.43,29.33,33.83,-2.1,4.5
Food Regularly Consumed Outside The Home,1.15,0.46,0.27,-0.69,-0.19
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.61,1.39,1.62,-0.21,0.23
Clothing And Footwear,3.75,2.05,2.23,-1.7,0.18
"Housing, Water, Electricity, Gas And Other Fuels",22.7,25.49,25.64,2.79,0.15
Furnishings And Routine Household Maintenance,2.39,2.45,2.73,0.05,0.28
Health,2.41,4.6,2.88,2.19,-1.72
Transport,6.63,7.07,7.33,0.44,0.26
Information And Communication,2.51,4.64,3.83,2.13,-0.82
"Recreation, Sport And Culture",1.07,0.38,0.3,-0.69,-0.08
Education,2.58,2.31,3.84,-0.27,1.53
Hotels (accommodation Services),0.0,0.21,0.04,0.21,-0.17
Insurance And Financial Services,0.0,3.58,3.32,3.58,-0.27
"Personal Care, Social Protection And Miscellaneous Goods And Services",8.69,3.84,3.06,-4.84,-0.78
Durable Furniture And Equipment,5.43,4.35,2.76,-1.09,-1.58
Special Family Occasion,4.53,4.66,3.69,0.13,-0.97
Other Expenditures,3.11,3.18,2.65,0.08,-0.54
Cagayan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.12,42.93,43.09,-3.19,0.16
Food Consumed At Home,39.59,42.05,38.48,2.46,-3.58
Food Regularly Consumed Outside The Home,6.52,0.87,4.61,-5.65,3.74
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,0.0
Alcoholic Beverages And Tobacco,2.44,2.78,1.89,0.34,-0.89
Clothing And Footwear,2.53,1.92,1.83,-0.61,-0.09
"Housing, Water, Electricity, Gas And Other Fuels",18.82,22.49,21.39,3.67,-1.1
Furnishings And Routine Household Maintenance,2.05,2.23,2.8,0.18,0.57
Health,2.45,2.99,2.56,0.54,-0.43
Transport,5.94,5.08,6.71,-0.86,1.63
Information And Communication,1.71,3.59,3.55,1.88,-0.04
"Recreation, Sport And Culture",0.79,0.45,0.65,-0.34,0.21
Education,2.12,1.38,3.72,-0.73,2.34
Hotels (accommodation Services),0.29,0.06,0.19,-0.22,0.12
Insurance And Financial Services,0.0,2.11,1.65,2.11,-0.46
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.98,4.87,3.47,-1.1,-1.41
Durable Furniture And Equipment,3.83,3.67,2.67,-0.16,-1.0
Special Family Occasion,3.03,1.9,2.51,-1.12,0.61
Other Expenditures,1.91,1.55,1.32,-0.36,-0.23
Isabela,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,48.92,42.78,41.9,-6.14,-0.89
Food Consumed At Home,40.7,41.33,36.11,0.62,-5.22
Food Regularly Consumed Outside The Home,8.22,1.45,5.78,-6.77,4.33
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,2.33,2.31,1.97,-0.02,-0.34
Clothing And Footwear,2.42,1.49,1.72,-0.92,0.23
"Housing, Water, Electricity, Gas And Other Fuels",17.88,23.33,22.77,5.45,-0.56
Furnishings And Routine Household Maintenance,2.22,2.12,2.42,-0.1,0.3
Health,1.89,3.86,3.24,1.98,-0.62
Transport,6.2,6.09,6.34,-0.11,0.25
Information And Communication,1.67,3.45,3.42,1.78,-0.03
"Recreation, Sport And Culture",0.56,0.34,0.76,-0.22,0.42
Education,1.74,1.36,3.94,-0.38,2.58
Hotels (accommodation Services),0.21,0.01,0.23,-0.2,0.22
Insurance And Financial Services,0.0,3.31,1.96,3.31,-1.35
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.07,5.16,3.83,-1.91,-1.34
Durable Furniture And Equipment,2.0,1.83,1.89,-0.17,0.06
Special Family Occasion,2.64,1.63,2.43,-1.01,0.79
Other Expenditures,2.26,0.91,1.19,-1.35,0.28
Nueva Vizcaya,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.52,43.9,41.73,-0.63,-2.17
Food Consumed At Home,36.56,42.57,36.94,6.01,-5.63
Food Regularly Consumed Outside The Home,7.96,1.32,4.79,-6.64,3.47
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,2.14,2.09,1.89,-0.04,-0.2
Clothing And Footwear,2.91,1.87,2.56,-1.04,0.69
"Housing, Water, Electricity, Gas And Other Fuels",17.2,19.19,18.42,2.0,-0.77
Furnishings And Routine Household Maintenance,2.22,1.84,2.55,-0.38,0.72
Health,2.86,4.22,2.59,1.35,-1.63
Transport,6.89,7.44,7.33,0.56,-0.11
Information And Communication,2.04,3.51,3.46,1.46,-0.05
"Recreation, Sport And Culture",0.73,0.43,1.0,-0.3,0.57
Education,3.76,1.66,5.12,-2.1,3.46
Hotels (accommodation Services),0.26,0.04,0.06,-0.23,0.03
Insurance And Financial Services,0.0,2.47,2.91,2.47,0.45
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.77,4.85,3.39,-2.92,-1.46
Durable Furniture And Equipment,2.75,3.72,3.16,0.98,-0.57
Special Family Occasion,2.45,1.85,1.84,-0.6,-0.01
Other Expenditures,1.5,0.93,1.98,-0.57,1.05
Quirino,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,43.48,42.44,40.06,-1.05,-2.38
Food Consumed At Home,38.88,41.01,37.39,2.13,-3.62
Food Regularly Consumed Outside The Home,4.61,1.36,2.65,-3.24,1.29
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.07,0.01,0.07,-0.05
Alcoholic Beverages And Tobacco,1.98,1.96,1.62,-0.02,-0.34
Clothing And Footwear,3.19,2.24,2.58,-0.95,0.35
"Housing, Water, Electricity, Gas And Other Fuels",15.18,18.93,19.51,3.75,0.58
Furnishings And Routine Household Maintenance,2.34,2.04,2.18,-0.3,0.14
Health,3.01,3.74,2.97,0.73,-0.77
Transport,6.12,6.37,6.76,0.25,0.4
Information And Communication,1.61,3.56,3.57,1.95,0.0
"Recreation, Sport And Culture",0.78,0.49,0.76,-0.29,0.26
Education,3.01,1.22,5.7,-1.79,4.48
Hotels (accommodation Services),0.18,0.02,0.11,-0.15,0.09
Insurance And Financial Services,0.0,3.5,3.3,3.5,-0.19
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.46,4.77,3.5,-2.69,-1.27
Durable Furniture And Equipment,7.47,3.66,2.09,-3.8,-1.58
Special Family Occasion,2.37,2.33,2.62,-0.04,0.29
Other Expenditures,1.82,2.74,2.68,0.92,-0.06
Region III - Central Luzon,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,42.72,42.07,40.35,-0.65,-1.71
Food Consumed At Home,32.61,38.44,35.57,5.83,-2.86
Food Regularly Consumed Outside The Home,10.11,3.63,4.78,-6.48,1.15
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.44,1.89,1.64,-0.55,-0.25
Clothing And Footwear,2.45,1.49,2.13,-0.96,0.64
"Housing, Water, Electricity, Gas And Other Fuels",18.99,24.12,21.94,5.13,-2.18
Furnishings And Routine Household Maintenance,2.2,1.91,2.55,-0.28,0.64
Health,3.09,3.62,2.95,0.53,-0.67
Transport,7.12,5.6,6.64,-1.51,1.04
Information And Communication,2.38,3.66,3.61,1.27,-0.05
"Recreation, Sport And Culture",0.63,0.36,1.03,-0.28,0.67
Education,2.06,1.24,2.98,-0.83,1.75
Hotels (accommodation Services),0.12,0.04,0.04,-0.08,0.0
Insurance And Financial Services,0.0,2.69,2.15,2.69,-0.54
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.41,4.74,3.88,-1.68,-0.85
