"Summary Statistics for Professional, Scientific And Technical Activities Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2021 Number  of  Establishments a/","2021 Totak Employment a/","2021 Paid Employees a/","2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/","2021 Total Revenue","2021 Total Expense","2021 Compensation","2021 Other Expense","2021 Value Added","2021 Gross Additions To Tangible Fixed Assets","2021 Change  in Inventories","2021 Sales from E-Commerce Transactions","2021 Subsidies"
"..Northern Mindanao","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Photographic activities",23,76,75,5,77969,77847,16630,61218,23928,30149,5717,-,-
"..Northern Mindanao","..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Northern Mindanao","..Veterinary activities",24,89,85,-,22633,19398,6076,13323,13137,10695,595,-,-
"..Davao Region","Professional, Scientific And Technical Activities",230,2031,2003,8,2896015,1758611,780228,978383,1836660,135598,-775,-,-
"..Davao Region","..Legal activities",50,268,264,2,687589,502153,281307,220847,496005,1449,-,-,-
"..Davao Region","..Accounting, bookkeeping and auditing activities; tax consultancy",27,351,351,-,276952,174882,120264,54619,232643,547,-6,-,-
"..Davao Region","..Activities of head offices",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Davao Region","..Management consultancy activities",9,257,257,-,918015,332446,190265,142181,558493,7423,-,-,-
"..Davao Region","..Architectural and engineering activities and related technical consultancy",38,545,545,-,372733,311274,95354,215921,181257,18740,-4320,-,-
"..Davao Region","..Technical testing and analysis",39,231,231,-,383414,212178,55733,156445,273591,98835,1626,-,-
"..Davao Region","..Research and experimental development on natural sciences and engineering",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Davao Region","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Davao Region","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Davao Region","..Advertising",25,132,109,6,115524,98735,9672,89063,39624,5752,-966,-,-
"..Davao Region","..Market research and public opinion polling",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Davao Region","..Specialized design activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Davao Region","..Photographic activities",26,61,61,-,71724,78184,14995,63189,16218,2768,3703,-,-
"..Davao Region","..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Davao Region","..Veterinary activities",9,36,36,-,13472,10153,5606,4547,9347,-,-238,-,-
"..SOCCSKSARGEN","Professional, Scientific And Technical Activities",121,882,878,21,542902,482396,137393,345004,224202,12272,18330,-,-
"..SOCCSKSARGEN","..Legal activities",33,87,83,-,37638,23761,15029,8732,30806,-,-39,-,-
"..SOCCSKSARGEN","..Accounting, bookkeeping and auditing activities; tax consultancy",11,83,83,-,57242,48426,24746,23681,35203,84,-3,-,-
"..SOCCSKSARGEN","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Management consultancy activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..SOCCSKSARGEN","..Architectural and engineering activities and related technical consultancy",14,440,440,9,286200,280803,58054,222749,60360,7437,20042,-,-
"..SOCCSKSARGEN","..Technical testing and analysis",21,82,82,1,98905,56885,16688,40197,78064,165,1215,-,-
"..SOCCSKSARGEN","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Advertising",5,33,33,-,8191,6174,1870,4305,4842,-,69,-,-
"..SOCCSKSARGEN","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Photographic activities",30,96,96,11,47888,52781,11531,41251,11361,2142,-3090,-,-
"..SOCCSKSARGEN","..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
"..SOCCSKSARGEN","..Veterinary activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Caraga","Professional, Scientific And Technical Activities",73,255,240,1,163919,106653,28149,78504,113015,4965,-150,-,-
"..Caraga","..Legal activities",18,25,21,-,11657,7818,2742,5076,8708,-,-52,-,-
"..Caraga","..Accounting, bookkeeping and auditing activities; tax consultancy",5,46,45,-,17157,12109,6156,5952,16969,4835,-,-,-
"..Caraga","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Management consultancy activities",3,14,14,-,7481,4731,1274,3457,4077,35,18,-,-
"..Caraga","..Architectural and engineering activities and related technical consultancy",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Caraga","..Technical testing and analysis",15,50,50,-,59293,25788,9410,16378,44525,-,-,-,-
"..Caraga","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Advertising",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Caraga","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Photographic activities",23,65,61,-,50562,42454,5442,37012,30873,-,-295,-,-
"..Caraga","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Veterinary activities",6,39,39,-,13714,10413,1568,8845,5470,-,179,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","Professional, Scientific And Technical Activities",5,36,36,-,14253,9974,2982,6992,7827,439,-289,-,120
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Legal activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Accounting, bookkeeping and auditing activities; tax consultancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Management consultancy activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Architectural and engineering activities and related technical consultancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Technical testing and analysis",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Research and experimental development on natural sciences and engineering",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Advertising",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Photographic activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Veterinary activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
